測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
45201520,2017/01/01,01,,0,0.003,0.003,,,,,,0.016,,,,,,
45201520,2017/01/01,02,,0.003,0.007,0.010,,,,,,0.020,,,,,,
45201520,2017/01/01,03,,0.001,0.006,0.007,,,,,,0.009,,,,,,
45201520,2017/01/01,04,,0.002,0.004,0.006,,,,,,0.012,,,,,,
45201520,2017/01/01,05,,0.005,0.004,0.009,,,,,,0.015,,,,,,
45201520,2017/01/01,06,,0.002,0.005,0.007,,,,,,0.006,,,,,,
45201520,2017/01/01,07,,0.004,0.005,0.009,,,,,,0.009,,,,,,
45201520,2017/01/01,08,,0.006,0.007,0.013,,,,,,0.016,,,,,,
45201520,2017/01/01,09,,0.008,0.008,0.016,,,,,,0.017,,,,,,
45201520,2017/01/01,10,,0.012,0.008,0.020,,,,,,0.019,,,,,,
45201520,2017/01/01,11,,0.010,0.009,0.019,,,,,,0.010,,,,,,
45201520,2017/01/01,12,,0.006,0.006,0.012,,,,,,0.012,,,,,,
45201520,2017/01/01,13,,0.017,0.011,0.028,,,,,,0.018,,,,,,
45201520,2017/01/01,14,,0.015,0.011,0.026,,,,,,0.021,,,,,,
45201520,2017/01/01,15,,0.014,0.013,0.027,,,,,,0.021,,,,,,
45201520,2017/01/01,16,,0.013,0.013,0.026,,,,,,0.019,,,,,,
45201520,2017/01/01,17,,0.016,0.016,0.032,,,,,,0.015,,,,,,
45201520,2017/01/01,18,,0.014,0.024,0.038,,,,,,0.025,,,,,,
45201520,2017/01/01,19,,0.017,0.022,0.039,,,,,,0.016,,,,,,
45201520,2017/01/01,20,,0.008,0.012,0.020,,,,,,0.021,,,,,,
45201520,2017/01/01,21,,0.007,0.010,0.017,,,,,,0.011,,,,,,
45201520,2017/01/01,22,,0.005,0.010,0.015,,,,,,0.021,,,,,,
45201520,2017/01/01,23,,0.001,0.008,0.009,,,,,,0.015,,,,,,
45201520,2017/01/01,24,,,,,,,,,,,,,,,,
45201520,2017/01/02,01,,0.001,0.004,0.005,,,,,,0.013,,,,,,
45201520,2017/01/02,02,,0,0.001,0.001,,,,,,0.017,,,,,,
45201520,2017/01/02,03,,0,0.002,0.002,,,,,,0.013,,,,,,
45201520,2017/01/02,04,,0.003,0.003,0.006,,,,,,0.012,,,,,,
45201520,2017/01/02,05,,0.002,0.003,0.005,,,,,,0.019,,,,,,
45201520,2017/01/02,06,,0.003,0.003,0.006,,,,,,0.013,,,,,,
45201520,2017/01/02,07,,0.006,0.006,0.012,,,,,,0.016,,,,,,
45201520,2017/01/02,08,,0.002,0.003,0.005,,,,,,0.014,,,,,,
