測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
24202530,2017/01/01,01,,0.001,0.008,0.009,,,,,,0.018,17,,NNE,1.2,,
24202530,2017/01/01,02,,0.001,0.007,0.008,,,,,,0.024,16,,NW,2.0,,
24202530,2017/01/01,03,,0.001,0.010,0.011,,,,,,0.015,24,,NW,2.0,,
24202530,2017/01/01,04,,0.001,0.009,0.010,,,,,,0.018,17,,NNW,2.0,,
24202530,2017/01/01,05,,0.001,0.007,0.008,,,,,,0.016,20,,NW,1.5,,
24202530,2017/01/01,06,,0.001,0.007,0.008,,,,,,0.009,11,,NW,2.3,,
24202530,2017/01/01,07,,0.002,0.010,0.012,,,,,,0.006,19,,WNW,2.8,,
24202530,2017/01/01,08,,0.004,0.006,0.010,,,,,,0.010,14,,WNW,1.6,,
24202530,2017/01/01,09,,0.014,0.014,0.028,,,,,,0.012,7,,W,2.3,,
24202530,2017/01/01,10,,0.002,0.005,0.007,,,,,,0.011,13,,WNW,2.5,,
24202530,2017/01/01,11,,0.002,0.004,0.006,,,,,,0.007,0,,WNW,3.2,,
24202530,2017/01/01,12,,0.002,0.004,0.006,,,,,,0.009,13,,WNW,2.7,,
24202530,2017/01/01,13,,0.002,0.004,0.006,,,,,,0.016,6,,NW,2.9,,
24202530,2017/01/01,14,,0.001,0.004,0.005,,,,,,0.011,11,,NW,2.8,,
24202530,2017/01/01,15,,0.002,0.005,0.007,,,,,,0.025,17,,NNW,2.2,,
24202530,2017/01/01,16,,0.001,0.005,0.006,,,,,,0.012,9,,NW,2.9,,
24202530,2017/01/01,17,,0.001,0.005,0.006,,,,,,0.012,7,,NW,1.9,,
24202530,2017/01/01,18,,0.008,0.010,0.018,,,,,,0.010,20,,NNW,1.2,,
24202530,2017/01/01,19,,0.001,0.012,0.013,,,,,,0.012,11,,WNW,0.8,,
24202530,2017/01/01,20,,0.001,0.009,0.010,,,,,,0.009,9,,WNW,1.7,,
24202530,2017/01/01,21,,0.001,0.012,0.013,,,,,,0.011,18,,WSW,1.8,,
24202530,2017/01/01,22,,0.002,0.017,0.019,,,,,,0.017,18,,NW,1.7,,
24202530,2017/01/01,23,,0.001,0.013,0.014,,,,,,0.015,17,,NW,1.1,,
24202530,2017/01/01,24,,0.001,0.008,0.009,,,,,,0.012,11,,W,1.4,,
24202530,2017/01/02,01,,0.001,0.015,0.016,,,,,,0.020,12,,NNW,0.6,,
24202530,2017/01/02,02,,0.001,0.007,0.008,,,,,,0.006,7,,W,1.4,,
24202530,2017/01/02,03,,0.001,0.006,0.007,,,,,,0.007,14,,N,0.4,,
24202530,2017/01/02,04,,0.001,0.010,0.011,,,,,,0.018,11,,CALM,0.3,,
