測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
09216010,2017/01/01,01,,,,,,0.004,0.20,2.14,2.34,,,,NNW,1.7,,
09216010,2017/01/01,02,,,,,,0.007,0.14,2.14,2.28,,,,NW,0.9,,
09216010,2017/01/01,03,,,,,,0.006,0.15,2.14,2.29,,,,E,0.5,,
09216010,2017/01/01,04,,,,,,0.004,0.15,2.20,2.35,,,,N,0.8,,
09216010,2017/01/01,05,,,,,,0.006,0.13,2.20,2.33,,,,N,0.7,,
09216010,2017/01/01,06,,,,,,0.006,0.12,2.21,2.33,,,,NE,0.3,,
09216010,2017/01/01,07,,,,,,0.002,0.15,2.21,2.36,,,,CALM,0.2,,
09216010,2017/01/01,08,,,,,,0.003,0.25,2.26,2.51,,,,NNE,0.3,,
09216010,2017/01/01,09,,,,,,0.009,0.18,2.22,2.40,,,,NE,0.8,,
09216010,2017/01/01,10,,,,,,0.015,0.14,2.16,2.30,,,,E,0.5,,
09216010,2017/01/01,11,,,,,,0.024,0.11,2.10,2.21,,,,ESE,0.4,,
09216010,2017/01/01,12,,,,,,0.028,0.08,2.06,2.14,,,,ESE,1.4,,
09216010,2017/01/01,13,,,,,,0.037,0.05,2.01,2.06,,,,SE,2.3,,
09216010,2017/01/01,14,,,,,,0.041,0.06,1.99,2.05,,,,E,1.6,,
09216010,2017/01/01,15,,,,,,0.042,0.04,1.98,2.02,,,,ENE,1.3,,
09216010,2017/01/01,16,,,,,,0.041,0.04,1.98,2.02,,,,NE,1.0,,
09216010,2017/01/01,17,,,,,,0.040,0.05,1.98,2.03,,,,NE,1.2,,
09216010,2017/01/01,18,,,,,,0.027,0.08,2.00,2.08,,,,E,0.7,,
09216010,2017/01/01,19,,,,,,0.023,0.12,2.14,2.26,,,,NNW,1.0,,
09216010,2017/01/01,20,,,,,,0.019,0.09,2.05,2.14,,,,NW,0.4,,
09216010,2017/01/01,21,,,,,,0.013,0.11,2.06,2.17,,,,WNW,1.5,,
09216010,2017/01/01,22,,,,,,0.010,0.11,2.17,2.28,,,,WNW,1.0,,
09216010,2017/01/01,23,,,,,,0.006,0.12,2.18,2.30,,,,CALM,0.1,,
09216010,2017/01/01,24,,,,,,0.004,0.14,2.22,2.36,,,,W,0.5,,
09216010,2017/01/02,01,,,,,,0.001,0.16,2.21,2.37,,,,WNW,0.4,,
09216010,2017/01/02,02,,,,,,0,0.18,2.28,2.46,,,,NE,0.6,,
09216010,2017/01/02,03,,,,,,0.001,0.18,2.15,2.33,,,,NNW,0.7,,
09216010,2017/01/02,04,,,,,,,0.18,2.11,2.29,,,,NW,1.1,,
09216010,2017/01/02,05,,,,,,0.001,0.18,2.15,2.33,,,,NNW,0.4,,
09216010,2017/01/02,06,,,,,,0.001,0.16,2.21,2.37,,,,NNE,0.9,,
09216010,2017/01/02,07,,,,,,0.002,0.15,2.17,2.32,,,,NNE,0.5,,
09216010,2017/01/02,08,,,,,,0.005,0.13,2.11,2.24,,,,NNW,1.7,,
09216010,2017/01/02,09,,,,,,0.008,0.18,2.09,2.27,,,,NNE,1.5,,
09216010,2017/01/02,10,,,,,,0.011,0.15,2.08,2.23,,,,NE,1.5,,
09216010,2017/01/02,11,,,,,,0.017,0.06,2.06,2.12,,,,NE,1.0,,
09216010,2017/01/02,12,,,,,,0.021,0.08,2.06,2.14,,,,N,1.0,,
09216010,2017/01/02,13,,,,,,0.029,0.06,2.02,2.08,,,,NNW,0.5,,
09216010,2017/01/02,14,,,,,,0.035,0.05,1.98,2.03,,,,NNE,0.8,,
09216010,2017/01/02,15,,,,,,0.039,0.05,1.98,2.03,,,,SSE,1.4,,
09216010,2017/01/02,16,,,,,,0.040,0.04,1.98,2.02,,,,S,1.3,,
09216010,2017/01/02,17,,,,,,0.037,0.06,1.99,2.05,,,,SSW,0.9,,
09216010,2017/01/02,18,,,,,,0.032,0.08,2.01,2.09,,,,WNW,0.5,,
09216010,2017/01/02,19,,,,,,0.014,0.11,2.04,2.15,,,,ENE,0.3,,
09216010,2017/01/02,20,,,,,,0.008,0.18,2.06,2.24,,,,W,1.0,,
09216010,2017/01/02,21,,,,,,0.002,0.20,2.16,2.36,,,,W,0.5,,
09216010,2017/01/02,22,,,,,,0.001,0.19,2.21,2.40,,,,ESE,0.3,,
09216010,2017/01/02,23,,,,,,0.004,0.18,2.20,2.38,,,,SW,0.5,,
09216010,2017/01/02,24,,,,,,0.001,0.18,2.18,2.36,,,,WNW,0.4,,
09216010,2017/01/03,01,,,,,,0,0.22,2.22,2.44,,,,NNW,0.8,,
09216010,2017/01/03,02,,,,,,0,0.28,2.21,2.49,,,,NNW,1.1,,
09216010,2017/01/03,03,,,,,,0.001,0.21,2.11,2.32,,,,NW,0.9,,
09216010,2017/01/03,04,,,,,,0.002,,,,,,,E,0.5,,
09216010,2017/01/03,05,,,,,,0.004,0.15,2.10,2.25,,,,NNW,1.5,,
09216010,2017/01/03,06,,,,,,0.007,0.14,2.10,2.24,,,,N,1.1,,
09216010,2017/01/03,07,,,,,,0.007,0.11,2.09,2.20,,,,NW,0.7,,
09216010,2017/01/03,08,,,,,,0.005,0.25,2.10,2.35,,,,ESE,0.7,,
09216010,2017/01/03,09,,,,,,0.009,0.28,2.11,2.39,,,,W,1.5,,
09216010,2017/01/03,10,,,,,,0.014,0.17,2.11,2.28,,,,WNW,1.4,,
09216010,2017/01/03,11,,,,,,0.030,0.12,2.05,2.17,,,,ENE,0.6,,
09216010,2017/01/03,12,,,,,,0.044,0.09,2.00,2.09,,,,E,1.1,,
09216010,2017/01/03,13,,,,,,0.047,0.08,2.00,2.08,,,,ENE,2.3,,
09216010,2017/01/03,14,,,,,,0.047,0.07,2.00,2.07,,,,NE,2.7,,
09216010,2017/01/03,15,,,,,,0.046,0.08,2.00,2.08,,,,E,2.0,,
09216010,2017/01/03,16,,,,,,0.044,0.10,2.01,2.11,,,,ENE,1.9,,
09216010,2017/01/03,17,,,,,,0.041,0.09,2.01,2.10,,,,SE,0.7,,
09216010,2017/01/03,18,,,,,,0.035,0.09,2.01,2.10,,,,SE,0.7,,
09216010,2017/01/03,19,,,,,,0.033,0.09,2.06,2.15,,,,SE,1.8,,
09216010,2017/01/03,20,,,,,,0.028,0.10,2.13,2.23,,,,SSW,1.0,,
09216010,2017/01/03,21,,,,,,0.030,0.11,2.05,2.16,,,,SSE,0.3,,
09216010,2017/01/03,22,,,,,,0.024,0.12,2.11,2.23,,,,E,0.4,,
09216010,2017/01/03,23,,,,,,0.020,0.12,2.11,2.23,,,,ESE,0.8,,
09216010,2017/01/03,24,,,,,,0.012,0.12,2.11,2.23,,,,NW,0.9,,
09216010,2017/01/04,01,,,,,,0.005,0.18,2.14,2.32,,,,NNW,0.6,,
09216010,2017/01/04,02,,,,,,0.003,0.21,2.18,2.39,,,,NNW,0.8,,
09216010,2017/01/04,03,,,,,,0.005,0.21,2.15,2.36,,,,NW,0.6,,
09216010,2017/01/04,04,,,,,,0.002,0.21,2.14,2.35,,,,NNW,0.6,,
09216010,2017/01/04,05,,,,,,0,0.18,2.13,2.31,,,,WNW,0.4,,
09216010,2017/01/04,06,,,,,,0.001,0.20,2.21,2.41,,,,N,0.8,,
09216010,2017/01/04,07,,,,,,0.001,0.26,2.18,2.44,,,,SSE,0.3,,
09216010,2017/01/04,08,,,,,,0.003,0.27,2.20,2.47,,,,CALM,0.1,,
09216010,2017/01/04,09,,,,,,0.007,0.23,2.19,2.42,,,,SSW,0.9,,
09216010,2017/01/04,10,,,,,,0.013,0.17,2.19,2.36,,,,SSE,2.6,,
09216010,2017/01/04,11,,,,,,0.020,0.17,2.10,2.27,,,,SW,2.7,,
09216010,2017/01/04,12,,,,,,0.033,0.14,2.02,2.16,,,,WSW,3.8,,
09216010,2017/01/04,13,,,,,,0.036,0.11,2.00,2.11,,,,SW,4.6,,
09216010,2017/01/04,14,,,,,,0.038,0.11,1.99,2.10,,,,WSW,3.4,,
09216010,2017/01/04,15,,,,,,0.039,0.10,1.98,2.08,,,,NNE,3.4,,
09216010,2017/01/04,16,,,,,,0.039,0.11,1.98,2.09,,,,NNE,2.3,,
09216010,2017/01/04,17,,,,,,0.036,0.09,1.98,2.07,,,,W,1.1,,
09216010,2017/01/04,18,,,,,,0.034,0.11,1.97,2.08,,,,WNW,5.6,,
09216010,2017/01/04,19,,,,,,0.042,0.07,1.96,2.03,,,,WNW,7.3,,
09216010,2017/01/04,20,,,,,,0.041,0.06,1.96,2.02,,,,WNW,5.4,,
09216010,2017/01/04,21,,,,,,0.038,0.06,1.95,2.01,,,,SE,1.4,,
09216010,2017/01/04,22,,,,,,0.035,0.06,1.96,2.02,,,,SW,0.9,,
09216010,2017/01/04,23,,,,,,0.031,0.07,1.98,2.05,,,,SE,1.3,,
09216010,2017/01/04,24,,,,,,0.031,0.06,2.03,2.09,,,,SSE,1.2,,
09216010,2017/01/05,01,,,,,,0.025,0.06,2.02,2.08,,,,E,1.3,,
09216010,2017/01/05,02,,,,,,0.022,0.09,1.98,2.07,,,,NNW,0.9,,
09216010,2017/01/05,03,,,,,,0.006,0.10,1.99,2.09,,,,WNW,0.7,,
09216010,2017/01/05,04,,,,,,0.002,0.12,2.04,2.16,,,,CALM,0.2,,
09216010,2017/01/05,05,,,,,,0,0.15,2.05,2.20,,,,N,0.5,,
09216010,2017/01/05,06,,,,,,0,0.18,2.06,2.24,,,,NNE,1.6,,
09216010,2017/01/05,07,,,,,,0,0.39,2.06,2.45,,,,E,0.4,,
09216010,2017/01/05,08,,,,,,0.001,0.36,2.11,2.47,,,,W,0.9,,
09216010,2017/01/05,09,,,,,,0.010,0.20,2.06,2.26,,,,N,1.2,,
09216010,2017/01/05,10,,,,,,0.022,0.12,2.02,2.14,,,,SSE,2.0,,
09216010,2017/01/05,11,,,,,,0.037,0.07,1.98,2.05,,,,SSE,2.3,,
09216010,2017/01/05,12,,,,,,0.040,0.07,1.97,2.04,,,,SSE,1.8,,
09216010,2017/01/05,13,,,,,,0.041,0.05,1.97,2.02,,,,SSE,3.3,,
09216010,2017/01/05,14,,,,,,0.042,0.06,1.96,2.02,,,,S,0.7,,
09216010,2017/01/05,15,,,,,,0.039,0.06,1.97,2.03,,,,NNW,4.2,,
09216010,2017/01/05,16,,,,,,0.037,0.06,1.97,2.03,,,,N,3.1,,
09216010,2017/01/05,17,,,,,,0.032,0.08,1.97,2.05,,,,NNW,3.0,,
09216010,2017/01/05,18,,,,,,0.031,0.08,1.98,2.06,,,,SE,2.5,,
09216010,2017/01/05,19,,,,,,0.032,0.07,1.99,2.06,,,,N,1.2,,
09216010,2017/01/05,20,,,,,,0.031,0.07,1.98,2.05,,,,N,1.8,,
09216010,2017/01/05,21,,,,,,0.030,0.06,1.98,2.04,,,,S,0.4,,
09216010,2017/01/05,22,,,,,,0.024,0.10,2.16,2.26,,,,SSW,1.7,,
09216010,2017/01/05,23,,,,,,0.028,0.09,2.02,2.11,,,,NNW,1.9,,
09216010,2017/01/05,24,,,,,,0.029,0.07,2.01,2.08,,,,ENE,1.5,,
09216010,2017/01/06,01,,,,,,0.028,0.06,2.01,2.07,,,,WSW,1.3,,
09216010,2017/01/06,02,,,,,,0.024,0.11,2.03,2.14,,,,CALM,0.1,,
09216010,2017/01/06,03,,,,,,0.008,0.11,2.07,2.18,,,,N,0.5,,
09216010,2017/01/06,04,,,,,,0,0.12,2.09,2.21,,,,S,1.4,,
09216010,2017/01/06,05,,,,,,0,0.15,2.24,2.39,,,,NNE,0.4,,
09216010,2017/01/06,06,,,,,,0,0.16,2.30,2.46,,,,W,0.5,,
09216010,2017/01/06,07,,,,,,0,0.19,2.21,2.40,,,,NW,1.4,,
09216010,2017/01/06,08,,,,,,0,0.24,2.21,2.45,,,,NNW,0.8,,
09216010,2017/01/06,09,,,,,,0.002,0.21,2.10,2.31,,,,NW,0.6,,
09216010,2017/01/06,10,,,,,,0.017,0.15,2.03,2.18,,,,W,0.8,,
09216010,2017/01/06,11,,,,,,0.028,0.09,2.00,2.09,,,,W,2.5,,
09216010,2017/01/06,12,,,,,,0.032,0.08,1.99,2.07,,,,NNW,1.1,,
09216010,2017/01/06,13,,,,,,0.035,0.08,1.98,2.06,,,,SE,0.9,,
09216010,2017/01/06,14,,,,,,0.034,0.08,1.98,2.06,,,,SE,1.4,,
09216010,2017/01/06,15,,,,,,0.036,0.08,1.98,2.06,,,,S,1.7,,
09216010,2017/01/06,16,,,,,,0.035,0.08,1.98,2.06,,,,SSW,0.7,,
09216010,2017/01/06,17,,,,,,0.031,0.08,1.98,2.06,,,,E,0.4,,
09216010,2017/01/06,18,,,,,,0.025,0.10,2.00,2.10,,,,CALM,0.2,,
09216010,2017/01/06,19,,,,,,0.013,0.10,2.00,2.10,,,,N,1.3,,
09216010,2017/01/06,20,,,,,,0.012,0.12,2.05,2.17,,,,ESE,0.7,,
09216010,2017/01/06,21,,,,,,0.012,0.18,2.08,2.26,,,,NW,1.7,,
09216010,2017/01/06,22,,,,,,0,0.31,2.14,2.45,,,,WNW,2.2,,
09216010,2017/01/06,23,,,,,,0.002,0.17,2.06,2.23,,,,N,0.8,,
09216010,2017/01/06,24,,,,,,0.001,0.16,2.07,2.23,,,,N,0.8,,
09216010,2017/01/07,01,,,,,,0,0.34,2.07,2.41,,,,N,1.0,,
09216010,2017/01/07,02,,,,,,0,0.36,2.06,2.42,,,,N,0.9,,
09216010,2017/01/07,03,,,,,,0,0.28,2.07,2.35,,,,NNW,1.4,,
09216010,2017/01/07,04,,,,,,0,0.20,2.06,2.26,,,,NW,0.8,,
09216010,2017/01/07,05,,,,,,0,0.24,2.07,2.31,,,,NNW,0.8,,
09216010,2017/01/07,06,,,,,,0,0.25,2.08,2.33,,,,NNW,0.6,,
09216010,2017/01/07,07,,,,,,0,0.23,2.07,2.30,,,,NNW,0.6,,
09216010,2017/01/07,08,,,,,,0,0.30,2.11,2.41,,,,NNW,1.1,,
09216010,2017/01/07,09,,,,,,0.004,0.48,2.11,2.59,,,,NNE,1.1,,
09216010,2017/01/07,10,,,,,,0.011,0.31,2.08,2.39,,,,NNE,1.7,,
09216010,2017/01/07,11,,,,,,0.020,0.15,2.02,2.17,,,,NNE,1.2,,
09216010,2017/01/07,12,,,,,,0.029,0.11,1.99,2.10,,,,ENE,1.0,,
09216010,2017/01/07,13,,,,,,0.032,0.11,1.98,2.09,,,,SE,0.6,,
