測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
07204210,2017/01/01,01,0.001,0,0.002,0.002,,0.032,,,,0.008,4,,NNW,1.1,4.5,70.6
07204210,2017/01/01,02,0,0.001,0.005,0.006,,0.022,,,,0.004,5,,NNW,1.2,4.5,73.1
07204210,2017/01/01,03,0.001,0.001,0.004,0.005,,0.027,,,,0.006,3,,NNW,0.8,5.6,67.4
07204210,2017/01/01,04,0.001,0,0.003,0.003,,0.029,,,,0.006,5,,NNE,0.6,4.8,70.7
07204210,2017/01/01,05,0.001,0,0.003,0.003,,0.026,,,,0.004,-3,,NNE,0.9,5.0,70.1
07204210,2017/01/01,06,0.001,0,0.001,0.001,,0.032,,,,0.004,6,,NNE,3.3,5.9,61.3
07204210,2017/01/01,07,0.001,0,0.002,0.002,,0.032,,,,0.005,4,,NE,1.4,5.3,67.0
07204210,2017/01/01,08,0.001,0,0.002,0.002,,0.033,,,,0.006,4,,N,2.3,6.6,61.6
07204210,2017/01/01,09,0.001,0,0.001,0.001,,0.037,,,,0.004,0,,NNE,3.5,7.4,58.7
07204210,2017/01/01,10,0.001,0,0.001,0.001,,0.037,,,,0.004,2,,NNE,2.4,8.7,53.6
07204210,2017/01/01,11,0.001,0,0.001,0.001,,0.040,,,,0.005,4,,NNE,2.9,9.7,45.3
07204210,2017/01/01,12,0.001,0,0.001,0.001,,0.042,,,,0.003,1,,N,3.3,10.8,36.1
07204210,2017/01/01,13,0.001,0,0.001,0.001,,0.042,,,,0.004,1,,NNW,2.6,11.4,37.8
07204210,2017/01/01,14,0.001,0.001,0.002,0.003,,0.041,,,,0.006,0,,NNW,3.2,11.0,37.7
07204210,2017/01/01,15,0.001,0,0.001,0.001,,0.042,,,,0.007,4,,NNW,3.8,10.3,36.3
07204210,2017/01/01,16,0,0,0.001,0.001,,0.042,,,,0.005,6,,NNW,2.7,9.2,41.7
07204210,2017/01/01,17,0.001,0,0.001,0.001,,0.041,,,,0.004,10,,N,2.2,8.4,46.4
07204210,2017/01/01,18,0.001,0,0.002,0.002,,0.040,,,,0.007,2,,NNW,1.7,7.8,46.9
07204210,2017/01/01,19,0.001,0.001,0.002,0.003,,0.042,,,,0.007,6,,NNW,1.1,7.7,47.4
07204210,2017/01/01,20,0.001,0,0.003,0.003,,0.037,,,,0.005,5,,NNW,0.8,6.1,54.8
07204210,2017/01/01,21,0.001,0,0.005,0.005,,0.032,,,,0.009,1,,N,1.2,5.4,59.9
