測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
07207010,2017/01/01,01,0.001,0,0.009,0.009,,0.015,0.11,1.96,2.07,0.001,,,SW,0.8,3.6,85.2
07207010,2017/01/01,02,0.001,0,0.006,0.006,,0.020,0.07,1.95,2.02,0.002,,,WNW,1.1,3.7,84.4
07207010,2017/01/01,03,0,0.001,0.009,0.010,,0.015,0.08,1.99,2.07,0,,,ESE,0.8,3.1,88.1
07207010,2017/01/01,04,0,0.001,0.005,0.006,,0.013,0.09,1.96,2.05,0.006,,,CALM,0.1,2.7,89.1
07207010,2017/01/01,05,0.001,0.001,0.008,0.009,,0.018,0.10,1.98,2.08,0.002,,,WNW,1.6,3.6,80.2
07207010,2017/01/01,06,0.001,0,0.003,0.003,,0.030,0.06,1.93,1.99,0,,,WNW,1.0,3.7,78.7
07207010,2017/01/01,07,0.001,0,0.008,0.008,,0.023,0.06,1.93,1.99,0,,,WSW,0.6,2.6,85.9
07207010,2017/01/01,08,0.001,0.001,0.008,0.009,,0.021,0.11,1.95,2.06,0,,,NE,0.6,4.1,78.5
07207010,2017/01/01,09,0.001,0.001,0.004,0.005,,0.029,0.08,1.93,2.01,0,,,NW,1.3,4.7,75.6
07207010,2017/01/01,10,0.001,0.001,0.003,0.004,,0.032,0.06,1.92,1.98,0,,,W,3.9,6.3,61.5
07207010,2017/01/01,11,0.001,0.001,0.002,0.003,,0.038,0.05,1.91,1.96,0.001,,,WNW,3.0,6.9,59.1
07207010,2017/01/01,12,0.001,0,0.002,0.002,,0.038,0.05,1.90,1.95,0.003,,,WNW,3.1,6.0,61.5
07207010,2017/01/01,13,0.001,0.001,0.002,0.003,,0.038,0.05,1.90,1.95,0.001,,,WNW,4.0,5.9,61.5
07207010,2017/01/01,14,0.001,0.001,0.002,0.003,,0.037,0.04,1.91,1.95,0,,,NW,2.7,6.9,56.2
07207010,2017/01/01,15,0.001,0,0.002,0.002,,0.038,0.05,1.91,1.96,0.001,,,WNW,2.5,6.0,60.4
07207010,2017/01/01,16,0.001,0,0.002,0.002,,0.035,0.05,1.91,1.96,0,,,E,0.6,5.7,63.5
07207010,2017/01/01,17,0.001,0,0.003,0.003,,0.036,0.05,1.90,1.95,0,,,WSW,2.2,5.4,63.7
07207010,2017/01/01,18,0.001,0,0.004,0.004,,0.034,0.06,1.91,1.97,0,,,SE,1.4,4.7,68.2
07207010,2017/01/01,19,0.001,0.001,0.007,0.008,,0.029,0.09,1.91,2.00,0.001,,,SE,1.3,5.1,65.0
07207010,2017/01/01,20,0.001,0,0.008,0.008,,0.028,0.07,1.91,1.98,0.001,,,CALM,0.5,4.5,68.7
07207010,2017/01/01,21,0.001,0,0.005,0.005,,0.037,0.06,1.91,1.97,0,,,WSW,2.0,6.3,56.8
07207010,2017/01/01,22,0.001,0,0.002,0.002,,0.042,0.04,1.91,1.95,0.002,,,W,2.6,6.4,56.4
07207010,2017/01/01,23,0.001,0,0.002,0.002,,0.040,0.04,1.91,1.95,0.001,,,W,1.1,5.9,59.6
07207010,2017/01/01,24,0.001,0,0.004,0.004,,0.035,0.06,1.91,1.97,0.003,,,NNW,1.1,5.7,62.6
07207010,2017/01/02,01,0.001,0,0.004,0.004,,0.031,0.07,1.92,1.99,0.007,,,ENE,0.9,4.8,66.3
07207010,2017/01/02,02,0.001,0,0.003,0.003,,0.031,0.06,1.93,1.99,0.006,,,NNE,1.1,4.5,67.7
07207010,2017/01/02,03,0.001,0,0.005,0.005,,0.025,0.06,1.94,2.00,0.001,,,SSW,0.7,3.9,69.2
07207010,2017/01/02,04,0.001,0,0.002,0.002,,0.027,0.04,1.94,1.98,0.002,,,S,0.9,2.7,69.7
07207010,2017/01/02,05,0.001,0,0.001,0.001,,0.025,0.04,1.94,1.98,0,,,S,1.0,2.3,72.3
07207010,2017/01/02,06,0.001,0,0.001,0.001,,0.025,0.04,1.93,1.97,0,,,SSE,1.5,2.5,73.9
07207010,2017/01/02,07,0.001,0,0.002,0.002,,0.024,0.04,1.92,1.96,0.002,,,ESE,1.4,2.5,75.0
07207010,2017/01/02,08,0.001,0.001,0.003,0.004,,0.023,0.05,1.92,1.97,0.002,,,SSE,1.0,2.6,74.6
07207010,2017/01/02,09,0.001,0.001,0.004,0.005,,0.022,0.06,1.93,1.99,0.005,,,S,1.2,3.8,70.4
07207010,2017/01/02,10,0.001,0.001,0.004,0.005,,0.024,0.06,1.94,2.00,0.001,,,SSW,0.6,5.6,65.4
07207010,2017/01/02,11,0.001,0.002,0.006,0.008,,0.025,0.08,1.93,2.01,0.007,,,W,1.1,6.9,59.6
07207010,2017/01/02,12,0.001,0.001,0.003,0.004,,0.033,0.06,1.92,1.98,0.006,,,WNW,0.7,9.0,44.4
07207010,2017/01/02,13,0.001,0,0.002,0.002,,0.039,0.05,1.90,1.95,0.004,,,SE,1.0,9.5,42.6
07207010,2017/01/02,14,0.001,0,0.002,0.002,,0.039,0.06,1.90,1.96,0.002,,,SE,1.1,10.4,44.0
07207010,2017/01/02,15,0.001,0,0.002,0.002,,0.039,0.06,1.90,1.96,0,,,E,1.0,10.5,44.4
07207010,2017/01/02,16,0.001,0,0.003,0.003,,0.038,0.05,1.90,1.95,0.006,,,NW,1.1,10.1,47.2
07207010,2017/01/02,17,0.001,0,0.005,0.005,,0.035,0.16,1.90,2.06,0.007,,,NW,2.8,8.0,59.4
07207010,2017/01/02,18,0.001,0,0.005,0.005,,0.035,0.09,1.90,1.99,0.004,,,NNW,1.5,7.1,65.0
07207010,2017/01/02,19,0.001,0,0.006,0.006,,0.033,0.08,1.90,1.98,0.006,,,WSW,1.3,6.8,62.7
07207010,2017/01/02,20,0.001,0.001,0.011,0.012,,0.026,0.09,1.90,1.99,0.004,,,ESE,0.6,4.9,70.2
07207010,2017/01/02,21,0.001,0.001,0.020,0.021,,0.016,0.19,1.92,2.11,0.008,,,WNW,1.8,5.4,69.3
07207010,2017/01/02,22,0.001,0,0.007,0.007,,0.033,0.10,1.90,2.00,0.007,,,WNW,3.3,6.1,72.5
07207010,2017/01/02,23,0.001,0,0.003,0.003,,0.039,0.05,1.89,1.94,0.002,,,NW,3.5,5.8,76.3
07207010,2017/01/02,24,0.001,0,0.003,0.003,,0.042,0.05,1.90,1.95,0.001,,,NNW,0.8,4.9,86.2
07207010,2017/01/03,01,0.001,0,0.003,0.003,,,0.06,1.90,1.96,0,,,W,1.3,4.8,87.3
07207010,2017/01/03,02,0.001,0,0.005,0.005,,0.039,0.05,1.90,1.95,0,,,WNW,3.8,5.0,79.5
07207010,2017/01/03,03,0.001,0,0.003,0.003,,0.045,0.05,1.93,1.98,0.001,,,WSW,1.2,4.4,81.8
07207010,2017/01/03,04,0.001,0,0.002,0.002,,0.046,0.05,1.94,1.99,0.002,,,WNW,1.7,4.7,77.9
07207010,2017/01/03,05,0.001,0,0.003,0.003,,0.045,0.06,1.95,2.01,0.008,,,WNW,1.2,3.5,79.3
07207010,2017/01/03,06,0.001,0,0.004,0.004,,0.043,0.06,1.95,2.01,0.004,,,W,3.5,3.4,75.9
07207010,2017/01/03,07,0.001,0,0.003,0.003,,0.045,0.05,1.93,1.98,0.007,,,NW,4.3,3.6,71.3
07207010,2017/01/03,08,0.001,0,0.003,0.003,,0.044,0.05,1.94,1.99,0.010,,,SE,1.4,2.9,76.5
07207010,2017/01/03,09,0.001,0.001,0.006,0.007,,0.037,0.07,1.94,2.01,0.014,,,ESE,1.6,3.7,74.8
07207010,2017/01/03,10,0.002,0.001,0.005,0.006,,0.041,0.07,1.95,2.02,0.010,,,WNW,2.0,5.0,66.6
07207010,2017/01/03,11,0.002,0.001,0.004,0.005,,0.042,0.08,1.97,2.05,0.019,,,NW,4.0,4.8,70.5
07207010,2017/01/03,12,0.002,0.001,0.004,0.005,,0.043,0.08,1.96,2.04,0.010,,,WNW,4.3,6.3,61.1
07207010,2017/01/03,13,0.002,0.001,0.004,0.005,,0.043,0.06,1.96,2.02,0.017,,,NW,4.7,5.3,58.3
07207010,2017/01/03,14,0.002,0,0.003,0.003,,0.043,0.07,1.97,2.04,0.021,,,WNW,3.5,5.3,57.9
07207010,2017/01/03,15,0.002,0.001,0.004,0.005,,0.041,0.07,1.97,2.04,0.027,,,WNW,2.7,5.5,58.4
