測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
07201210,2017/01/01,01,,0.001,0.011,0.012,0.3,,0.06,1.99,2.05,0.008,,,SW,0.6,2.2,92.9
07201210,2017/01/01,02,,0.001,0.010,0.011,0.3,,0.05,1.99,2.04,0.010,,,CALM,0.5,2.3,91.5
07201210,2017/01/01,03,,0.001,0.012,0.013,0.3,,0.05,1.99,2.04,0.006,,,CALM,0.1,2.0,93.7
07201210,2017/01/01,04,,0.002,0.011,0.013,0.3,,0.06,2.00,2.06,0.007,,,SSW,0.8,1.7,94.5
07201210,2017/01/01,05,,0.001,0.009,0.010,0.3,,0.05,1.99,2.04,0.006,,,CALM,0.4,1.8,93.7
07201210,2017/01/01,06,,0.002,0.012,0.014,0.3,,0.07,2.00,2.07,0.009,,,CALM,0.4,2.0,93.2
07201210,2017/01/01,07,,0.003,0.013,0.016,0.3,,0.05,2.00,2.05,0.008,,,CALM,0.4,2.0,93.4
07201210,2017/01/01,08,,0.004,0.013,0.017,0.3,,0.05,2.00,2.05,0.008,,,CALM,0.1,3.3,88.4
07201210,2017/01/01,09,,0.002,0.008,0.010,0.2,,0.05,1.98,2.03,0.008,,,CALM,0.4,4.3,79.5
07201210,2017/01/01,10,,0.002,0.007,0.009,0.3,,0.05,1.99,2.04,0.006,,,SW,0.9,6.0,66.3
07201210,2017/01/01,11,,0.001,0.004,0.005,0.2,,0.03,1.97,2.00,0.007,,,W,1.9,6.6,57.4
07201210,2017/01/01,12,,0.001,0.004,0.005,0.2,,0.04,1.96,2.00,0.005,,,WSW,1.1,6.9,56.5
07201210,2017/01/01,13,,0.001,0.003,0.004,0.2,,0.02,1.96,1.98,0.005,,,WSW,1.6,7.0,56.4
07201210,2017/01/01,14,,0.001,0.003,0.004,0.2,,0.02,1.96,1.98,0.005,,,W,1.4,7.1,54.5
07201210,2017/01/01,15,,0.001,0.005,0.006,0.2,,0.03,1.96,1.99,0.006,,,S,0.8,7.5,52.4
07201210,2017/01/01,16,,0.003,0.010,0.013,0.3,,0.03,1.96,1.99,0.008,,,CALM,0,7.4,51.0
07201210,2017/01/01,17,,0.002,0.014,0.016,0.3,,0.06,1.97,2.03,0.009,,,CALM,0.4,6.0,61.2
07201210,2017/01/01,18,,0.003,0.015,0.018,0.3,,0.07,1.97,2.04,0.010,,,CALM,0.4,5.6,61.6
07201210,2017/01/01,19,,0.003,0.017,0.020,0.4,,0.07,1.98,2.05,0.012,,,CALM,0.3,4.0,70.6
07201210,2017/01/01,20,,0.003,0.019,0.022,0.4,,0.10,2.01,2.11,0.012,,,CALM,0.1,3.3,74.8
07201210,2017/01/01,21,,0.003,0.018,0.021,0.4,,0.09,2.00,2.09,0.010,,,CALM,0.2,3.0,77.0
07201210,2017/01/01,22,,0.002,0.017,0.019,0.3,,0.09,2.00,2.09,0.009,,,CALM,0.5,3.5,76.8
07201210,2017/01/01,23,,0.001,0.013,0.014,0.3,,0.09,1.99,2.08,0.008,,,CALM,0.2,3.8,77.8
07201210,2017/01/01,24,,0,0.010,0.010,0.3,,0.05,1.98,2.03,0.008,,,W,1.1,3.7,77.5
