測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
01204150,2017/01/01,01,,0,0.005,0.005,,,,,,0.008,11,,,,,
01204150,2017/01/01,02,,0.001,0.009,0.010,,,,,,0.010,12,,,,,
01204150,2017/01/01,03,,0,0.008,0.008,,,,,,0.008,5,,,,,
01204150,2017/01/01,04,,0.001,0.009,0.010,,,,,,0.011,13,,,,,
01204150,2017/01/01,05,,0.001,0.006,0.007,,,,,,0.015,13,,,,,
01204150,2017/01/01,06,,0.001,0.007,0.008,,,,,,0.010,10,,,,,
01204150,2017/01/01,07,,0,0.003,0.003,,,,,,0.008,9,,,,,
01204150,2017/01/01,08,,0.001,0.004,0.005,,,,,,0.008,5,,,,,
01204150,2017/01/01,09,,0.001,0.005,0.006,,,,,,0.009,5,,,,,
01204150,2017/01/01,10,,0.001,0.003,0.004,,,,,,0.007,5,,,,,
01204150,2017/01/01,11,,0.001,0.003,0.004,,,,,,0.004,2,,,,,
01204150,2017/01/01,12,,0.001,0.004,0.005,,,,,,0.008,4,,,,,
01204150,2017/01/01,13,,0.001,0.003,0.004,,,,,,0.008,4,,,,,
01204150,2017/01/01,14,,0.001,0.002,0.003,,,,,,0.007,5,,,,,
01204150,2017/01/01,15,,0.001,0.003,0.004,,,,,,0.008,4,,,,,
01204150,2017/01/01,16,,0.001,0.003,0.004,,,,,,0.005,6,,,,,
01204150,2017/01/01,17,,0.001,0.005,0.006,,,,,,0.008,0,,,,,
01204150,2017/01/01,18,,0.001,0.005,0.006,,,,,,0.007,3,,,,,
01204150,2017/01/01,19,,0.001,0.005,0.006,,,,,,0.005,6,,,,,
01204150,2017/01/01,20,,0.001,0.004,0.005,,,,,,0.008,2,,,,,
01204150,2017/01/01,21,,0,0.004,0.004,,,,,,0.006,0,,,,,
01204150,2017/01/01,22,,0,0.004,0.004,,,,,,0.007,2,,,,,
01204150,2017/01/01,23,,0,0.003,0.003,,,,,,0.008,4,,,,,
01204150,2017/01/01,24,,0,0.003,0.003,,,,,,0.007,4,,,,,
01204150,2017/01/02,01,,0,0.003,0.003,,,,,,0.009,9,,,,,
01204150,2017/01/02,02,,0,0.002,0.002,,,,,,0.010,10,,,,,
01204150,2017/01/02,03,,0,0.002,0.002,,,,,,0.009,9,,,,,
01204150,2017/01/02,04,,0,0.002,0.002,,,,,,0.008,9,,,,,
01204150,2017/01/02,05,,0,0.002,0.002,,,,,,0.009,4,,,,,
01204150,2017/01/02,06,,0,0.002,0.002,,,,,,0.013,11,,,,,
01204150,2017/01/02,07,,0,0.003,0.003,,,,,,0.011,11,,,,,
01204150,2017/01/02,08,,0,0.004,0.004,,,,,,0.016,12,,,,,
01204150,2017/01/02,09,,0.001,0.005,0.006,,,,,,0.020,21,,,,,
01204150,2017/01/02,10,,0.002,0.006,0.008,,,,,,0.024,22,,,,,
01204150,2017/01/02,11,,0.002,0.005,0.007,,,,,,0.031,26,,,,,
01204150,2017/01/02,12,,0.001,0.005,0.006,,,,,,0.032,28,,,,,
01204150,2017/01/02,13,,0.002,0.005,0.007,,,,,,0.031,28,,,,,
01204150,2017/01/02,14,,0.001,0.004,0.005,,,,,,0.031,31,,,,,
