測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
01102010,2017/01/01,01,0.001,0.001,0.023,0.024,,0.014,0.10,2.23,2.33,0.010,11,,,,,
01102010,2017/01/01,02,0,0,0.020,0.020,,0.015,0.10,2.26,2.36,0.028,14,,,,,
01102010,2017/01/01,03,0,0.001,0.021,0.022,,0.013,0.09,2.23,2.32,0.007,12,,,,,
01102010,2017/01/01,04,0,0.001,0.021,0.022,,0.013,0.09,2.27,2.36,0.005,19,,,,,
01102010,2017/01/01,05,0.001,0.001,0.021,0.022,,0.013,0.09,2.32,2.41,0.017,15,,,,,
01102010,2017/01/01,06,0.001,0.001,0.020,0.021,,0.014,0.08,2.34,2.42,0.008,17,,,,,
01102010,2017/01/01,07,0.001,0.003,0.030,0.033,,0.008,0.10,2.28,2.38,0.009,14,,,,,
01102010,2017/01/01,08,0.001,0.002,0.024,0.026,,0.012,0.10,2.22,2.32,0,14,,,,,
01102010,2017/01/01,09,0.001,0.002,0.016,0.018,,0.021,0.08,2.26,2.34,0.005,13,,,,,
01102010,2017/01/01,10,0.002,0.002,0.012,0.014,,0.025,0.06,2.25,2.31,0.008,13,,,,,
01102010,2017/01/01,11,0.002,0.003,0.011,0.014,,0.027,0.07,2.15,2.22,0.015,16,,,,,
01102010,2017/01/01,12,0.003,0.003,0.011,0.014,,0.028,0.07,2.12,2.19,0.014,9,,,,,
01102010,2017/01/01,13,0.003,0.005,0.015,0.020,,0.026,0.08,2.11,2.19,0.009,13,,,,,
01102010,2017/01/01,14,0.003,0.005,0.012,0.017,,0.028,0.08,2.11,2.19,0.008,10,,,,,
01102010,2017/01/01,15,0.002,0.001,0.007,0.008,,0.035,0.07,2.07,2.14,0.008,9,,,,,
01102010,2017/01/01,16,0.001,0,0.006,0.006,,0.036,0.06,2.03,2.09,0.009,9,,,,,
01102010,2017/01/01,17,0.001,0,0.019,0.019,,0.025,0.08,2.04,2.12,0.015,8,,,,,
01102010,2017/01/01,18,0.001,0.007,0.041,0.048,,0.007,0.15,2.12,2.27,0.012,18,,,,,
01102010,2017/01/01,19,0.001,0.024,0.050,0.074,,0.002,0.24,2.10,2.34,0.008,14,,,,,
01102010,2017/01/01,20,0.001,0.036,0.052,0.088,,0.002,0.31,2.13,2.44,0.012,16,,,,,
01102010,2017/01/01,21,0.001,0.014,0.047,0.061,,0.003,0.21,2.11,2.32,0.022,19,,,,,
01102010,2017/01/01,22,0.001,0.022,0.050,0.072,,0.002,0.23,2.16,2.39,0.020,18,,,,,
01102010,2017/01/01,23,0.001,0.021,0.049,0.070,,0.002,0.23,2.18,2.41,0.017,9,,,,,
01102010,2017/01/01,24,0.001,0.011,0.047,0.058,,0.002,0.17,2.19,2.36,0.001,9,,,,,
01102010,2017/01/02,01,0.001,0.004,0.041,0.045,,0.005,0.15,2.26,2.41,0.008,19,,,,,
01102010,2017/01/02,02,0.001,0.001,0.024,0.025,,0.013,0.10,2.49,2.59,0.015,13,,,,,
01102010,2017/01/02,03,0.001,0,0.021,0.021,,0.015,0.08,2.38,2.46,0.014,23,,,,,
01102010,2017/01/02,04,0.001,0,0.023,0.023,,0.013,0.09,2.44,2.53,0.008,19,,,,,
01102010,2017/01/02,05,0.001,0.001,0.024,0.025,,0.012,0.09,2.48,2.57,0.014,10,,,,,
01102010,2017/01/02,06,0.001,0.002,0.031,0.033,,0.007,0.11,2.46,2.57,0.013,18,,,,,
01102010,2017/01/02,07,0.002,0.001,0.029,0.030,,0.017,0.12,2.15,2.27,0.019,23,,,,,
01102010,2017/01/02,08,0.003,0,0.007,0.007,,0.037,0.07,2.07,2.14,0.021,32,,,,,
01102010,2017/01/02,09,0.003,0.001,0.014,0.015,,0.031,0.08,2.07,2.15,0.028,39,,,,,
01102010,2017/01/02,10,0.004,0.003,0.014,0.017,,0.031,0.09,2.07,2.16,0.025,43,,,,,
01102010,2017/01/02,11,0.004,0.004,0.015,0.019,,0.033,0.09,2.09,2.18,0.030,41,,,,,
01102010,2017/01/02,12,0.003,0.003,0.012,0.015,,0.035,0.09,2.08,2.17,0.029,36,,,,,
01102010,2017/01/02,13,0.003,0.002,0.010,0.012,,0.037,0.07,2.08,2.15,0.029,30,,,,,
01102010,2017/01/02,14,0.003,0.001,0.007,0.008,,0.039,0.08,2.08,2.16,0.031,46,,,,,
01102010,2017/01/02,15,0.003,0,0.005,0.005,,0.039,0.07,2.08,2.15,0.027,43,,,,,
01102010,2017/01/02,16,0.003,0,0.007,0.007,,0.037,0.08,2.08,2.16,0.032,41,,,,,
01102010,2017/01/02,17,0.002,0,0.012,0.012,,0.033,0.09,2.09,2.18,0.040,43,,,,,
01102010,2017/01/02,18,0.003,0,0.013,0.013,,0.032,0.09,2.09,2.18,0.033,50,,,,,
01102010,2017/01/02,19,0.003,0.001,0.036,0.037,,0.012,0.15,2.09,2.24,0.033,56,,,,,
01102010,2017/01/02,20,0.002,0.019,0.049,0.068,,0.004,0.22,2.14,2.36,0.044,51,,,,,
01102010,2017/01/02,21,0.002,0.020,0.050,0.070,,0.003,0.23,2.26,2.49,0.034,59,,,,,
01102010,2017/01/02,22,0.002,0.016,0.048,0.064,,0.003,0.20,2.38,2.58,0.040,56,,,,,
01102010,2017/01/02,23,0.002,0.005,0.042,0.047,,0.005,0.15,2.38,2.53,0.034,63,,,,,
01102010,2017/01/02,24,0.002,0.001,0.025,0.026,,0.016,0.12,2.34,2.46,0.044,57,,,,,
01102010,2017/01/03,01,0.001,0,0.025,0.025,,0.019,0.11,2.23,2.34,0.027,54,,,,,
01102010,2017/01/03,02,,,,,,0.015,,,,0.032,65,,,,,
01102010,2017/01/03,03,0.001,0,0.018,0.018,,0.021,0.08,2.23,2.31,0.043,49,,,,,
01102010,2017/01/03,04,0.001,0.001,0.025,0.026,,0.014,0.09,2.36,2.45,0.036,58,,,,,
01102010,2017/01/03,05,0.001,0.004,0.037,0.041,,0.005,0.11,2.54,2.65,0.041,59,,,,,
01102010,2017/01/03,06,0.001,0.013,0.044,0.057,,0.003,0.15,2.49,2.64,0.030,68,,,,,
01102010,2017/01/03,07,0.002,0.021,0.046,0.067,,0.003,0.16,2.43,2.59,0.030,57,,,,,
01102010,2017/01/03,08,0.002,0.024,0.045,0.069,,0.004,0.16,2.23,2.39,0.031,55,,,,,
01102010,2017/01/03,09,0.002,0.011,0.028,0.039,,0.015,0.11,2.26,2.37,0.044,73,,,,,
01102010,2017/01/03,10,0.002,0.002,0.009,0.011,,0.029,0.07,2.17,2.24,0.023,49,,,,,
01102010,2017/01/03,11,0.002,0.002,0.011,0.013,,0.029,0.06,2.19,2.25,0.036,57,,,,,
01102010,2017/01/03,12,0.004,0.006,0.016,0.022,,0.026,0.07,2.16,2.23,0.036,54,,,,,
01102010,2017/01/03,13,0.004,0.006,0.019,0.025,,0.027,0.08,2.14,2.22,0.042,54,,,,,
01102010,2017/01/03,14,0.002,0.002,0.014,0.016,,0.032,0.07,2.10,2.17,0.032,41,,,,,
01102010,2017/01/03,15,0.002,0.003,0.021,0.024,,0.026,0.08,2.07,2.15,0.029,39,,,,,
01102010,2017/01/03,16,0.001,0.001,0.012,0.013,,0.032,0.08,2.04,2.12,0.024,26,,,,,
01102010,2017/01/03,17,0.001,0.001,0.010,0.011,,0.033,0.07,2.01,2.08,0.023,29,,,,,
01102010,2017/01/03,18,0.001,0.001,0.008,0.009,,0.033,0.05,2.00,2.05,0.020,18,,,,,
01102010,2017/01/03,19,0.001,0,0.013,0.013,,0.030,0.06,2.01,2.07,0.029,16,,,,,
