測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
12219510,2017/01/01,01,0.004,0.002,0.013,0.015,,,0.13,2.03,2.16,0.002,,,E,0.7,,
12219510,2017/01/01,02,0.004,0.002,0.015,0.017,,,0.18,2.11,2.29,0.009,,,ESE,0.8,,
12219510,2017/01/01,03,0.003,0.001,0.013,0.014,,,0.16,2.13,2.29,0.002,,,NNE,0.6,,
12219510,2017/01/01,04,0.004,0.002,0.019,0.021,,,0.24,2.10,2.34,0.009,,,N,2.7,,
12219510,2017/01/01,05,0.006,0,0.022,0.022,,,0.29,2.03,2.32,0.010,,,SSE,0.7,,
12219510,2017/01/01,06,0.004,0.001,0.015,0.016,,,0.17,2.12,2.29,0.017,,,SE,1.4,,
12219510,2017/01/01,07,0.004,0.003,0.017,0.020,,,0.21,2.15,2.36,0.029,,,S,1.2,,
12219510,2017/01/01,08,0.004,0.008,0.014,0.022,,,0.16,2.14,2.30,0.028,,,S,0.7,,
12219510,2017/01/01,09,0.009,0.006,0.011,0.017,,,0.18,2.02,2.20,0.012,,,NNW,2.7,,
12219510,2017/01/01,10,0.009,0.002,0.008,0.010,,,0.09,1.96,2.05,0.014,,,NW,2.7,,
12219510,2017/01/01,11,0.010,0.002,0.009,0.011,,,0.09,1.93,2.02,0.002,,,NW,2.9,,
12219510,2017/01/01,12,0.007,0.004,0.014,0.018,,,0.14,2.02,2.16,0.018,,,W,1.7,,
12219510,2017/01/01,13,0.012,0.004,0.015,0.019,,,0.17,2.00,2.17,0.033,,,NW,2.0,,
12219510,2017/01/01,14,0.013,0.003,0.013,0.016,,,0.19,1.95,2.14,0.010,,,W,0.7,,
12219510,2017/01/01,15,0.013,0.001,0.013,0.014,,,0.11,1.93,2.04,0.017,,,W,1.6,,
12219510,2017/01/01,16,0.006,0,0.010,0.010,,,0.14,1.98,2.12,0.001,,,W,1.4,,
12219510,2017/01/01,17,0.006,0,0.013,0.013,,,0.21,1.94,2.15,0.007,,,S,0.8,,
12219510,2017/01/01,18,0.007,0,0.021,0.021,,,0.18,1.93,2.11,0.013,,,SSE,1.1,,
12219510,2017/01/01,19,0.007,0,0.023,0.023,,,0.17,1.96,2.13,0.015,,,SE,1.9,,
12219510,2017/01/01,20,0.007,0,0.014,0.014,,,0.14,1.94,2.08,0.006,,,SSE,1.5,,
12219510,2017/01/01,21,0.005,0,0.012,0.012,,,0.14,1.94,2.08,0.004,,,SSE,2.0,,
12219510,2017/01/01,22,0.005,0,0.011,0.011,,,0.09,1.95,2.04,0.009,,,NNE,1.0,,
12219510,2017/01/01,23,0.005,0.008,0.022,0.030,,,0.20,1.97,2.17,0.005,,,S,1.1,,
12219510,2017/01/01,24,0.004,0.001,0.013,0.014,,,0.16,2.01,2.17,0.002,,,S,0.6,,
12219510,2017/01/02,01,0.004,0,0.011,0.011,,,0.14,1.99,2.13,0.001,,,SE,0.8,,
12219510,2017/01/02,02,0.004,,,,,,,,,0.001,,,ESE,0.6,,
12219510,2017/01/02,03,0.004,0,0.012,0.012,,,0.13,2.08,2.21,0.006,,,CALM,0,,
12219510,2017/01/02,04,0.003,0,0.011,0.011,,,0.15,2.07,2.22,0.006,,,S,0.5,,
12219510,2017/01/02,05,0.003,0,0.009,0.009,,,0.12,2.05,2.17,0.009,,,S,0.7,,
12219510,2017/01/02,06,0.003,0,0.010,0.010,,,0.11,2.06,2.17,0.006,,,ENE,1.2,,
12219510,2017/01/02,07,0.003,0,0.015,0.015,,,0.11,2.09,2.20,0.001,,,E,1.4,,
12219510,2017/01/02,08,0.003,0.003,0.015,0.018,,,0.14,2.07,2.21,0.001,,,SW,1.0,,
12219510,2017/01/02,09,0.003,0.006,0.014,0.020,,,0.16,2.09,2.25,0.001,,,SSE,0.5,,
12219510,2017/01/02,10,0.007,0.006,0.016,0.022,,,0.13,2.04,2.17,0.007,,,WNW,1.1,,
12219510,2017/01/02,11,0.010,0.005,0.017,0.022,,,0.18,1.97,2.15,0.001,,,WSW,1.4,,
12219510,2017/01/02,12,0.010,0.006,0.020,0.026,,,0.21,1.97,2.18,0.006,,,WSW,1.2,,
12219510,2017/01/02,13,0.009,0.004,0.019,0.023,,,0.21,1.96,2.17,0.016,,,N,2.5,,
12219510,2017/01/02,14,0.014,0.006,0.025,0.031,,,0.23,1.95,2.18,0.013,,,WSW,1.9,,
12219510,2017/01/02,15,0.015,0.002,0.021,0.023,,,0.13,1.95,2.08,0.004,,,NNW,1.8,,
12219510,2017/01/02,16,0.012,0,0.015,0.015,,,0.12,1.93,2.05,0.001,,,WNW,1.7,,
12219510,2017/01/02,17,0.007,0,0.015,0.015,,,0.11,1.93,2.04,0.005,,,WSW,0.9,,
12219510,2017/01/02,18,0.008,0,0.030,0.030,,,0.21,1.95,2.16,0.001,,,SSE,1.4,,
12219510,2017/01/02,19,0.008,0,0.025,0.025,,,0.28,1.97,2.25,0.016,,,S,1.0,,
12219510,2017/01/02,20,0.007,0.003,0.026,0.029,,,0.24,1.98,2.22,0.016,,,E,0.6,,
12219510,2017/01/02,21,0.007,0.003,0.023,0.026,,,0.21,1.98,2.19,0.025,,,SE,1.3,,
12219510,2017/01/02,22,0.005,0,0.014,0.014,,,0.13,1.97,2.10,0.019,,,CALM,0.3,,
12219510,2017/01/02,23,0.005,0.001,0.015,0.016,,,0.12,2.01,2.13,0.019,,,SSE,0.9,,
12219510,2017/01/02,24,0.004,0.004,0.018,0.022,,,0.16,2.04,2.20,0.031,,,SE,0.6,,
12219510,2017/01/03,01,0.004,0.002,0.016,0.018,,,0.19,2.12,2.31,0.024,,,S,1.0,,
12219510,2017/01/03,02,0.004,0,0.012,0.012,,,0.14,2.07,2.21,0.003,,,ESE,0.5,,
12219510,2017/01/03,03,0.003,0.001,0.014,0.015,,,0.15,2.14,2.29,0.003,,,SSE,1.3,,
12219510,2017/01/03,04,0.003,0,0.010,0.010,,,0.15,2.11,2.26,0.012,,,SSE,1.0,,
12219510,2017/01/03,05,0.003,0,0.010,0.010,,,0.12,2.07,2.19,0.009,,,SE,0.7,,
