測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
12204150,2017/01/01,01,,0.040,0.040,0.080,,0.002,,,,0.030,,,NNW,0.5,,
12204150,2017/01/01,02,,0.039,0.039,0.078,,0.003,,,,0.034,,,NW,1.6,,
12204150,2017/01/01,03,,0.029,0.036,0.065,,0.003,,,,0.035,,,NNW,1.1,,
12204150,2017/01/01,04,,0.002,0.022,0.024,,0.006,,,,0.037,,,NNW,1.1,,
12204150,2017/01/01,05,,0.001,0.016,0.017,,0.011,,,,0.030,,,NNW,1.6,,
12204150,2017/01/01,06,,0.001,0.013,0.014,,0.013,,,,0.020,,,NNW,1.1,,
12204150,2017/01/01,07,,0.002,0.016,0.018,,0.009,,,,0.021,,,NNW,1.0,,
12204150,2017/01/01,08,,0.002,0.013,0.015,,0.012,,,,0.021,,,NW,1.6,,
12204150,2017/01/01,09,,0.003,0.009,0.012,,0.019,,,,0.018,,,NW,1.4,,
12204150,2017/01/01,10,,0.003,0.007,0.010,,0.023,,,,0.014,,,NNW,2.0,,
12204150,2017/01/01,11,,0.003,0.007,0.010,,0.027,,,,0.014,,,NW,1.5,,
12204150,2017/01/01,12,,0.002,0.007,0.009,,0.032,,,,0.012,,,NW,2.1,,
12204150,2017/01/01,13,,0.001,0.004,0.005,,0.037,,,,0.010,,,NW,1.4,,
12204150,2017/01/01,14,,0.002,0.007,0.009,,0.036,,,,0.011,,,SSE,2.0,,
12204150,2017/01/01,15,,0.004,0.014,0.018,,0.031,,,,0.017,,,SSW,2.2,,
12204150,2017/01/01,16,,0.002,0.016,0.018,,0.031,,,,0.014,,,S,1.4,,
12204150,2017/01/01,17,,0.001,0.022,0.023,,0.025,,,,0.018,,,SSE,0.8,,
12204150,2017/01/01,18,,0.002,0.032,0.034,,0.014,,,,0.017,,,SSW,0.6,,
12204150,2017/01/01,19,,0.004,0.038,0.042,,0.008,,,,0.015,,,N,0.5,,
12204150,2017/01/01,20,,0.033,0.042,0.075,,0.002,,,,0.022,,,NNW,0.4,,
12204150,2017/01/01,21,,0.035,0.046,0.081,,0.002,,,,0.026,,,SSE,0.3,,
12204150,2017/01/01,22,,0.050,0.045,0.095,,0.002,,,,0.025,,,N,0.8,,
12204150,2017/01/01,23,,0.047,0.046,0.093,,0.002,,,,0.026,,,N,0.8,,
12204150,2017/01/01,24,,0.011,0.040,0.051,,0.003,,,,0.016,,,N,1.0,,
12204150,2017/01/02,01,,0.003,0.033,0.036,,0.006,,,,0.011,,,N,0.7,,
12204150,2017/01/02,02,,,,,,,,,,0.011,,,NNW,0.5,,
12204150,2017/01/02,03,,0.009,0.032,0.041,,0.001,,,,0.015,,,NNW,1.1,,
12204150,2017/01/02,04,,0.004,0.029,0.033,,0.005,,,,0.015,,,N,1.3,,
12204150,2017/01/02,05,,0.002,0.024,0.026,,0.007,,,,0.011,,,N,1.6,,
12204150,2017/01/02,06,,0.001,0.019,0.020,,0.010,,,,0.016,,,NNW,1.0,,
12204150,2017/01/02,07,,0.002,0.019,0.021,,0.009,,,,0.013,,,N,1.0,,
12204150,2017/01/02,08,,0.002,0.017,0.019,,0.011,,,,0.016,,,NW,1.0,,
12204150,2017/01/02,09,,0.002,0.014,0.016,,0.015,,,,0.015,,,NNW,1.3,,
12204150,2017/01/02,10,,0.004,0.013,0.017,,0.019,,,,0.016,,,NW,1.1,,
12204150,2017/01/02,11,,0.005,0.011,0.016,,0.025,,,,0.016,,,NW,1.2,,
12204150,2017/01/02,12,,0.003,0.009,0.012,,0.031,,,,0.018,,,SE,0.6,,
12204150,2017/01/02,13,,0.002,0.008,0.010,,0.035,,,,0.015,,,W,1.0,,
12204150,2017/01/02,14,,0.002,0.009,0.011,,0.039,,,,0.015,,,NW,1.2,,
12204150,2017/01/02,15,,0.002,0.010,0.012,,0.038,,,,0.013,,,NNE,1.0,,
12204150,2017/01/02,16,,0.003,0.013,0.016,,0.035,,,,0.019,,,WNW,0.5,,
12204150,2017/01/02,17,,0.001,0.022,0.023,,0.027,,,,0.016,,,CALM,0.2,,
12204150,2017/01/02,18,,0.008,0.043,0.051,,0.006,,,,0.020,,,SW,0.4,,
12204150,2017/01/02,19,,0.034,0.048,0.082,,0.002,,,,0.023,,,NNW,0.5,,
12204150,2017/01/02,20,,0.069,0.049,0.118,,0.002,,,,0.028,,,NE,0.5,,
12204150,2017/01/02,21,,0.080,0.047,0.127,,0.002,,,,0.032,,,NNW,0.3,,
12204150,2017/01/02,22,,0.087,0.045,0.132,,0.002,,,,0.039,,,NNW,0.7,,
12204150,2017/01/02,23,,0.080,0.045,0.125,,0.002,,,,0.038,,,NNE,0.7,,
12204150,2017/01/02,24,,0.062,0.048,0.110,,0.002,,,,0.034,,,NNW,0.9,,
12204150,2017/01/03,01,,0.043,0.042,0.085,,0.002,,,,0.027,,,N,0.6,,
12204150,2017/01/03,02,,0.029,0.038,0.067,,0.001,,,,0.023,,,N,1.0,,
12204150,2017/01/03,03,,0.030,0.034,0.064,,0.001,,,,0.025,,,WNW,0.5,,
12204150,2017/01/03,04,,0.017,0.032,0.049,,0.001,,,,0.025,,,N,0.4,,
12204150,2017/01/03,05,,0.024,0.032,0.056,,0.001,,,,0.026,,,NW,0.3,,
12204150,2017/01/03,06,,0.033,0.030,0.063,,0.001,,,,0.022,,,NNW,0.9,,
12204150,2017/01/03,07,,0.012,0.024,0.036,,0.006,,,,0.020,,,NNW,1.7,,
12204150,2017/01/03,08,,0.004,0.019,0.023,,0.011,,,,0.016,,,NNW,0.5,,
12204150,2017/01/03,09,,0.005,0.015,0.020,,0.017,,,,0.023,,,NW,0.7,,
12204150,2017/01/03,10,,0.003,0.011,0.014,,0.028,,,,0.017,,,N,2.6,,
12204150,2017/01/03,11,,0.001,0.006,0.007,,0.040,,,,0.010,,,NW,2.0,,
12204150,2017/01/03,12,,0.001,0.004,0.005,,0.044,,,,0.013,,,NW,2.8,,
12204150,2017/01/03,13,,0.001,0.003,0.004,,0.047,,,,0.009,,,NNW,3.7,,
12204150,2017/01/03,14,,0.001,0.003,0.004,,0.048,,,,0.008,,,WNW,3.4,,
12204150,2017/01/03,15,,0.001,0.004,0.005,,0.047,,,,0.015,,,NW,3.6,,
12204150,2017/01/03,16,,0,0.004,0.004,,0.046,,,,0.017,,,NNW,4.6,,
12204150,2017/01/03,17,,0.001,0.006,0.007,,0.044,,,,0.017,,,NNW,0.8,,
12204150,2017/01/03,18,,0.001,0.008,0.009,,0.041,,,,0.017,,,NW,2.0,,
12204150,2017/01/03,19,,0,0.008,0.008,,0.039,,,,0.014,,,NNW,1.3,,
12204150,2017/01/03,20,,0,0.014,0.014,,0.032,,,,0.016,,,NNW,2.0,,
12204150,2017/01/03,21,,0,0.013,0.013,,0.034,,,,0.016,,,N,1.9,,
12204150,2017/01/03,22,,0.001,0.017,0.018,,0.029,,,,0.013,,,NNE,1.3,,
12204150,2017/01/03,23,,0.001,0.020,0.021,,0.025,,,,0.019,,,NNW,0.6,,
12204150,2017/01/03,24,,0.003,0.032,0.035,,0.012,,,,0.021,,,WSW,0.6,,
12204150,2017/01/04,01,,0.003,0.038,0.041,,0.006,,,,0.021,,,CALM,0.2,,
12204150,2017/01/04,02,,0.002,0.035,0.037,,0.008,,,,0.023,,,N,0.5,,
12204150,2017/01/04,03,,0.006,0.036,0.042,,0.005,,,,0.021,,,N,1.0,,
12204150,2017/01/04,04,,0.001,0.022,0.023,,0.013,,,,0.021,,,N,0.8,,
