測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
12201540,2017/01/01,01,,0.074,0.035,0.109,,,,,,0.027,,,E,0.7,,
12201540,2017/01/01,02,,0.057,0.031,0.088,,,0.47,2.29,2.76,0.032,,,CALM,0.3,,
12201540,2017/01/01,03,,0.024,0.030,0.054,,,0.46,2.27,2.73,0.041,,,N,1.6,,
12201540,2017/01/01,04,,0.008,0.029,0.037,,,0.39,2.23,2.62,0.029,,,N,1.5,,
12201540,2017/01/01,05,,0.003,0.022,0.025,,,0.26,2.12,2.38,0.036,,,N,1.7,,
12201540,2017/01/01,06,,0.004,0.019,0.023,,,0.21,2.08,2.29,0.010,,,NNW,1.9,,
12201540,2017/01/01,07,,0.002,0.014,0.016,,,0.15,2.05,2.20,0.015,,,NNW,1.7,,
12201540,2017/01/01,08,,0.003,0.014,0.017,,,0.15,2.05,2.20,0.017,,,N,2.0,,
12201540,2017/01/01,09,,0.004,0.010,0.014,,,0.15,2.04,2.19,0.015,,,NNW,3.1,,
12201540,2017/01/01,10,,0.003,0.007,0.010,,,0.11,1.99,2.10,0.005,,,NNW,3.2,,
12201540,2017/01/01,11,,0.002,0.005,0.007,,,0.09,1.98,2.07,0.011,,,NNW,2.6,,
12201540,2017/01/01,12,,0.002,0.005,0.007,,,0.09,1.98,2.07,0.007,,,N,2.2,,
12201540,2017/01/01,13,,0.002,0.004,0.006,,,0.09,1.97,2.06,0.007,,,NW,2.7,,
12201540,2017/01/01,14,,0.001,0.003,0.004,,,0.08,1.97,2.05,0.007,,,N,1.8,,
12201540,2017/01/01,15,,0.002,0.008,0.010,,,0.09,1.97,2.06,0.006,,,SW,2.2,,
12201540,2017/01/01,16,,0.002,0.013,0.015,,,0.12,1.98,2.10,0.002,,,SW,1.7,,
12201540,2017/01/01,17,,0.001,0.021,0.022,,,0.10,1.97,2.07,0,,,WSW,0.9,,
12201540,2017/01/01,18,,0.011,0.042,0.053,,,0.16,2.00,2.16,0.024,,,ESE,0.5,,
12201540,2017/01/01,19,,0.028,0.045,0.073,,,0.29,2.07,2.36,0.006,,,E,0.5,,
12201540,2017/01/01,20,,0.039,0.044,0.083,,,0.42,2.17,2.59,0.011,,,SE,1.1,,
12201540,2017/01/01,21,,0.033,0.042,0.075,,,0.40,2.14,2.54,0.021,,,NNW,1.9,,
12201540,2017/01/01,22,,0.041,0.042,0.083,,,0.43,2.19,2.62,0.013,,,ENE,0.5,,
