測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
12211040,2017/01/01,01,0,0.041,0.026,0.067,,0.003,0.52,2.36,2.88,0.033,,,ENE,0.5,1.3,97.0
12211040,2017/01/01,02,0,0.042,0.025,0.067,,0.003,0.52,2.39,2.91,0.028,,,CALM,0,0.9,98.0
12211040,2017/01/01,03,0,0.023,0.021,0.044,,0.005,0.53,2.49,3.02,0.028,,,NW,2.2,1.2,98.0
12211040,2017/01/01,04,0,0,0.014,0.014,,0.009,0.20,2.17,2.37,0.029,,,NNW,1.8,0.7,96.0
12211040,2017/01/01,05,0,0,0.014,0.014,,0.009,0.24,2.16,2.40,0.037,,,WNW,1.5,0.7,97.0
12211040,2017/01/01,06,0,0,0.013,0.013,,0.010,0.21,2.14,2.35,0.048,,,WNW,1.9,0.5,95.0
12211040,2017/01/01,07,0.001,0.001,0.013,0.014,,0.011,0.20,2.13,2.33,0.022,,,WNW,2.3,1.1,91.0
12211040,2017/01/01,08,0.001,0.003,0.012,0.015,,0.012,0.18,2.13,2.31,0.026,,,NW,1.4,1.3,95.0
12211040,2017/01/01,09,0.001,0.004,0.008,0.012,,0.017,0.17,2.13,2.30,0.014,,,NW,1.1,4.0,85.0
12211040,2017/01/01,10,0.001,0.004,0.008,0.012,,0.022,0.13,2.08,2.21,0.013,,,WNW,1.6,6.6,77.0
12211040,2017/01/01,11,0.001,0.001,0.004,0.005,,0.032,0.09,2.02,2.11,0.007,,,WNW,3.5,8.7,66.0
12211040,2017/01/01,12,0.001,0,0.003,0.003,,0.038,0.09,1.99,2.08,0,,,NNW,2.4,10.0,60.0
12211040,2017/01/01,13,0,0,0.003,0.003,,0.041,0.09,1.98,2.07,0,,,WNW,2.4,11.1,55.0
12211040,2017/01/01,14,0,0,0.002,0.002,,0.044,0.08,1.96,2.04,0,,,W,1.5,12.0,49.0
12211040,2017/01/01,15,0,0,0.002,0.002,,0.044,0.07,1.95,2.02,0.004,,,NW,1.2,12.4,48.0
12211040,2017/01/01,16,0.001,0,0.002,0.002,,0.044,0.06,1.96,2.02,0,,,NE,0.8,11.2,53.0
12211040,2017/01/01,17,0.001,0,0.008,0.008,,0.039,0.08,1.98,2.06,0.003,,,E,1.1,8.7,66.0
12211040,2017/01/01,18,0.001,0,0.012,0.012,,0.032,0.10,1.98,2.08,0.005,,,SSE,1.0,7.3,72.0
12211040,2017/01/01,19,0.001,0.001,0.028,0.029,,0.016,0.18,2.04,2.22,0,,,SE,0.5,6.2,76.0
12211040,2017/01/01,20,0.001,0,0.022,0.022,,0.020,0.19,2.06,2.25,0.004,,,SSW,0.9,5.8,75.0
12211040,2017/01/01,21,0,0.001,0.019,0.020,,0.021,0.21,2.06,2.27,0.001,,,NW,1.0,5.0,81.0
12211040,2017/01/01,22,0,0.001,0.018,0.019,,0.017,0.17,2.11,2.28,0.018,,,SSW,0.8,4.1,88.0
12211040,2017/01/01,23,0.001,0.001,0.019,0.020,,0.016,0.19,2.14,2.33,0.005,,,W,1.8,3.4,94.0
12211040,2017/01/01,24,0.001,0,0.017,0.017,,0.017,0.20,2.16,2.36,0,,,W,1.5,3.2,90.0
12211040,2017/01/02,01,0.001,0,0.016,0.016,,0.017,0.21,2.15,2.36,0.001,,,WNW,1.0,2.6,86.0
12211040,2017/01/02,02,0.001,0,0.016,0.016,,0.015,0.19,2.12,2.31,0.021,,,CALM,0,1.8,95.0
12211040,2017/01/02,03,0,0,0.020,0.020,,0.008,0.29,2.27,2.56,0.015,,,NE,0.4,1.0,96.0
12211040,2017/01/02,04,0,0.001,0.018,0.019,,0.009,0.26,2.22,2.48,0.001,,,NNW,1.5,1.5,96.0
12211040,2017/01/02,05,0,0,0.010,0.010,,0.018,0.18,2.13,2.31,0.011,,,N,0.6,2.3,90.0
12211040,2017/01/02,06,0,0,0.012,0.012,,0.014,0.18,2.12,2.30,0.006,,,NNW,0.5,1.6,95.0
