測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
12225080,2017/01/01,01,0,0,0.005,0.005,,0.017,,,,0.009,,,SE,0.7,3.6,86.0
12225080,2017/01/01,02,0,0,0.009,0.009,,0.007,,,,0.013,,,SE,0.3,2.7,89.0
12225080,2017/01/01,03,0,0,0.008,0.008,,0.006,,,,0.015,,,E,0.8,2.7,90.0
12225080,2017/01/01,04,0,0.002,0.022,0.024,,0.005,,,,0.036,,,N,3.6,7.5,68.0
12225080,2017/01/01,05,0,0.004,0.025,0.029,,0.007,,,,0.035,,,ENE,1.7,5.2,75.0
12225080,2017/01/01,06,0,0.003,0.019,0.022,,0.009,,,,0.026,,,E,2.6,4.4,79.0
12225080,2017/01/01,07,0,0.001,0.016,0.017,,0.009,,,,0.020,,,ENE,0.8,3.8,80.0
12225080,2017/01/01,08,0,0.002,0.013,0.015,,0.011,,,,0.014,,,E,1.7,5.2,76.0
12225080,2017/01/01,09,0,0.007,0.014,0.021,,0.012,,,,0.021,,,SSE,0.8,6.7,71.0
12225080,2017/01/01,10,0.002,0.011,0.016,0.027,,0.014,,,,0.023,,,SSE,0.8,9.2,63.0
12225080,2017/01/01,11,0.016,0.030,0.029,0.059,,0.013,,,,0.038,,,N,2.2,11.2,48.0
12225080,2017/01/01,12,0.014,0.020,0.029,0.049,,0.017,,,,0.039,,,NW,1.1,11.6,50.0
12225080,2017/01/01,13,0.015,0.014,0.028,0.042,,0.023,,,,0.028,,,NE,1.5,12.5,34.0
12225080,2017/01/01,14,0.018,0.012,0.028,0.040,,0.026,,,,0.029,,,WNW,0.9,13.0,38.0
12225080,2017/01/01,15,0.005,0.003,0.015,0.018,,0.035,,,,0.013,,,WNW,1.8,12.6,36.0
12225080,2017/01/01,16,0.004,0.001,0.015,0.016,,0.035,,,,0.014,,,W,0.4,12.9,37.0
12225080,2017/01/01,17,0.002,0,0.014,0.014,,0.028,,,,0.010,,,ESE,0.5,10.2,45.0
12225080,2017/01/01,18,0.001,0,0.015,0.015,,0.021,,,,0.011,,,ESE,1.8,9.1,54.0
12225080,2017/01/01,19,0.001,0.001,0.013,0.014,,0.020,,,,0.010,,,ESE,1.7,7.6,60.0
12225080,2017/01/01,20,0,0.001,0.009,0.010,,0.020,,,,0.009,,,E,1.4,6.9,62.0
12225080,2017/01/01,21,0,0,0.008,0.008,,0.021,,,,0.009,,,E,1.7,6.2,65.0
12225080,2017/01/01,22,0,0,0.007,0.007,,0.021,,,,0.006,,,E,1.7,5.6,66.0
