測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
12219200,2017/01/01,01,0.001,0.001,0.009,0.010,0.3,0.009,0.14,2.12,2.26,0.024,14,,ESE,1.1,1.9,98.0
12219200,2017/01/01,02,0.001,0.001,0.009,0.010,0.3,0.006,0.14,2.30,2.44,0.037,16,,SE,1.9,1.3,98.0
12219200,2017/01/01,03,0.001,0.002,0.009,0.011,0.3,0.005,0.14,2.33,2.47,0.018,16,,NNW,0.6,0.8,99.0
12219200,2017/01/01,04,0.002,0.004,0.012,0.016,0.5,0.004,0.16,2.31,2.47,0.003,27,,NNE,1.2,0.7,99.0
12219200,2017/01/01,05,0.002,0.004,0.016,0.020,0.6,0.003,0.18,2.17,2.35,0.012,19,,ENE,1.3,0.6,97.0
12219200,2017/01/01,06,0.002,0.005,0.017,0.022,0.7,0.004,0.19,2.19,2.38,0.030,33,,SE,1.4,0.3,96.0
12219200,2017/01/01,07,0.002,0.004,0.017,0.021,0.5,0.004,0.20,2.23,2.43,0.028,27,,W,0.8,0.3,97.0
12219200,2017/01/01,08,0.002,0.013,0.017,0.030,0.7,0.005,0.21,2.26,2.47,0.023,28,,WSW,0.6,2.5,95.0
12219200,2017/01/01,09,0.002,0.009,0.015,0.024,0.5,0.015,0.20,2.18,2.38,0.018,22,,WNW,1.7,6.0,80.0
12219200,2017/01/01,10,0.004,0.004,0.009,0.013,0.4,0.026,0.16,2.04,2.20,0.010,16,,NW,3.7,9.2,54.0
12219200,2017/01/01,11,0.003,0.003,0.008,0.011,0.3,0.030,0.08,1.99,2.07,0.013,13,,WNW,3.7,11.0,48.0
12219200,2017/01/01,12,0.004,0.003,0.008,0.011,0.3,0.033,0.13,2.00,2.13,0.002,12,,NW,2.0,12.2,44.0
12219200,2017/01/01,13,0.010,0.004,0.011,0.015,0.8,0.033,0.14,2.02,2.16,0.009,17,,NNW,1.2,12.5,40.0
12219200,2017/01/01,14,0.006,0.003,0.011,0.014,0.5,0.035,0.10,2.00,2.10,0.015,13,,WSW,0.8,13.1,40.0
12219200,2017/01/01,15,0.007,0.003,0.012,0.015,0.7,0.035,0.13,1.99,2.12,0.008,19,,W,1.3,13.3,40.0
12219200,2017/01/01,16,0.012,0.002,0.014,0.016,0.3,0.035,0.12,1.98,2.10,0.009,13,,WSW,1.3,12.8,42.0
12219200,2017/01/01,17,0.006,0,0.012,0.012,0.3,0.033,0.13,2.00,2.13,0.008,4,,S,1.3,10.9,47.0
12219200,2017/01/01,18,0.005,0.001,0.028,0.029,0.4,0.016,0.15,2.07,2.22,0.001,14,,SSE,1.8,8.6,61.0
12219200,2017/01/01,19,0.004,0.002,0.026,0.028,0.4,0.011,0.28,2.12,2.40,0.001,25,,SE,2.8,6.8,69.0
12219200,2017/01/01,20,0.004,0,0.016,0.016,0.2,0.017,0.17,2.05,2.22,0.009,13,,SSE,3.3,6.4,72.0
12219200,2017/01/01,21,0.003,0.001,0.012,0.013,0.2,0.019,0.10,2.02,2.12,0.012,13,,SSE,2.5,5.5,75.0
12219200,2017/01/01,22,0.003,0.001,0.012,0.013,0.2,0.016,0.12,2.05,2.17,0.009,11,,NNE,1.5,3.8,82.0
12219200,2017/01/01,23,0.002,0.001,0.018,0.019,0.3,0.009,0.14,2.11,2.25,0.014,11,,SE,1.3,3.7,86.0
12219200,2017/01/01,24,0.002,0.001,0.016,0.017,0.3,0.007,0.16,2.16,2.32,0.003,12,,SSE,1.0,3.0,90.0
12219200,2017/01/02,01,0.002,0.001,0.011,0.012,0.2,0.008,0.13,2.19,2.32,0.004,8,,ESE,2.1,2.2,93.0
12219200,2017/01/02,02,0.002,,,,,,,,,0.007,14,,ESE,2.2,1.7,96.0
12219200,2017/01/02,03,0.001,0.001,0.013,0.014,0.3,0.004,0.24,2.29,2.53,0.008,19,,E,1.3,1.4,96.0
12219200,2017/01/02,04,0.001,0.001,0.014,0.015,0.4,0.004,0.20,2.22,2.42,0.015,11,,E,1.2,1.5,97.0
12219200,2017/01/02,05,0.001,0.001,0.012,0.013,0.3,0.006,0.15,2.25,2.40,0.021,14,,ENE,0.7,2.0,96.0
12219200,2017/01/02,06,0.001,0.001,0.010,0.011,0.3,0.008,0.15,2.27,2.42,0.033,16,,ENE,1.6,2.5,91.0
12219200,2017/01/02,07,0.002,0,0.009,0.009,0.3,0.016,0.13,2.12,2.25,0.013,18,,E,1.5,2.8,87.0
12219200,2017/01/02,08,0.002,0.002,0.013,0.015,0.4,0.013,0.13,2.11,2.24,0.033,23,,CALM,0.3,3.8,85.0
12219200,2017/01/02,09,0.002,0.005,0.014,0.019,0.5,0.009,0.19,2.19,2.38,0.011,17,,CALM,0.4,5.5,80.0
12219200,2017/01/02,10,0.003,0.006,0.015,0.021,0.4,0.015,0.16,2.11,2.27,0.002,16,,SSW,1.1,7.1,73.0
12219200,2017/01/02,11,0.005,0.007,0.014,0.021,0.4,0.019,0.20,2.09,2.29,0.015,10,,WSW,0.5,9.8,59.0
12219200,2017/01/02,12,0.013,0.009,0.019,0.028,0.4,0.027,0.20,2.03,2.23,0.029,28,,WSW,1.5,11.5,51.0
12219200,2017/01/02,13,0.008,0.007,0.020,0.027,0.3,0.033,0.28,2.02,2.30,0.033,11,,NNW,2.7,12.0,48.0
12219200,2017/01/02,14,0.012,0.008,0.023,0.031,0.3,0.028,0.23,2.01,2.24,0.010,20,,WSW,1.4,13.3,51.0
12219200,2017/01/02,15,0.011,0.005,0.020,0.025,0.4,0.031,0.13,1.98,2.11,0.007,20,,NW,1.8,12.2,56.0
12219200,2017/01/02,16,0.009,0.002,0.017,0.019,0.4,0.032,0.16,1.99,2.15,0.028,17,,NW,1.9,12.0,61.0
12219200,2017/01/02,17,0.008,0,0.016,0.016,0.4,0.031,0.10,1.98,2.08,0.040,14,,W,1.1,9.9,68.0
12219200,2017/01/02,18,0.006,0.002,0.029,0.031,0.6,0.016,0.15,2.05,2.20,0.012,20,,SE,1.9,8.3,78.0
12219200,2017/01/02,19,0.004,0.001,0.029,0.030,0.6,0.009,0.24,2.11,2.35,0.011,19,,SSE,1.5,7.1,84.0
12219200,2017/01/02,20,0.003,0.001,0.023,0.024,0.5,0.011,0.21,2.11,2.32,0.015,16,,SE,1.8,6.2,88.0
