測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27207520,2017/01/01,01,,0.011,0.024,0.035,0.5,,,,,0.004,,,CALM,0.4,,
27207520,2017/01/01,02,,0.008,0.019,0.027,0.5,,,,,0.009,,,CALM,0.3,,
27207520,2017/01/01,03,,0.007,0.014,0.021,0.4,,,,,0.007,,,CALM,0.4,,
27207520,2017/01/01,04,,0.009,0.016,0.025,0.5,,,,,0.007,,,CALM,0.4,,
27207520,2017/01/01,05,,0.004,0.013,0.017,0.4,,,,,0.004,,,CALM,0.2,,
27207520,2017/01/01,06,,0.005,0.015,0.020,0.4,,,,,0.004,,,N,0.5,,
27207520,2017/01/01,07,,0.007,0.017,0.024,0.4,,,,,0.005,,,CALM,0.4,,
27207520,2017/01/01,08,,0.006,0.016,0.022,0.4,,,,,0.002,,,ESE,0.5,,
27207520,2017/01/01,09,,0.009,0.019,0.028,0.6,,,,,0.005,,,CALM,0.3,,
27207520,2017/01/01,10,,0.010,0.016,0.026,0.5,,,,,0.009,,,CALM,0.4,,
27207520,2017/01/01,11,,0.007,0.014,0.021,0.5,,,,,0.007,,,SW,1.1,,
27207520,2017/01/01,12,,0.004,0.012,0.016,0.4,,,,,0.010,,,S,0.9,,
27207520,2017/01/01,13,,0.002,0.009,0.011,0.3,,,,,0.006,,,S,1.5,,
27207520,2017/01/01,14,,0.002,0.008,0.010,0.3,,,,,0.005,,,WSW,3.1,,
27207520,2017/01/01,15,,0.001,0.007,0.008,0.3,,,,,0.006,,,SE,1.0,,
27207520,2017/01/01,16,,0.001,0.007,0.008,0.3,,,,,0.007,,,S,1.7,,
27207520,2017/01/01,17,,0,0.008,0.008,0.4,,,,,0.008,,,SSE,0.9,,
27207520,2017/01/01,18,,0.001,0.012,0.013,0.4,,,,,0.009,,,NW,0.6,,
27207520,2017/01/01,19,,0.002,0.015,0.017,0.4,,,,,0.003,,,NNW,0.6,,
27207520,2017/01/01,20,,0.005,0.016,0.021,0.4,,,,,0.004,,,NW,0.6,,
27207520,2017/01/01,21,,0.003,0.016,0.019,0.4,,,,,0.005,,,CALM,0.4,,
27207520,2017/01/01,22,,0.005,0.016,0.021,0.4,,,,,0.006,,,NE,0.6,,
27207520,2017/01/01,23,,0.009,0.024,0.033,0.4,,,,,0.004,,,CALM,0.3,,
27207520,2017/01/01,24,,0.002,0.018,0.020,0.4,,,,,0.002,,,CALM,0,,
27207520,2017/01/02,01,,0.010,0.023,0.033,0.5,,,,,0,,,CALM,0.3,,
27207520,2017/01/02,02,,0.008,0.017,0.025,0.5,,,,,0.004,,,CALM,0.2,,
27207520,2017/01/02,03,,0.011,0.022,0.033,0.5,,,,,0.009,,,CALM,0.1,,
27207520,2017/01/02,04,,0.019,0.022,0.041,0.5,,,,,0.009,,,CALM,0.2,,
27207520,2017/01/02,05,,0.015,0.019,0.034,0.5,,,,,0.010,,,CALM,0.2,,
27207520,2017/01/02,06,,0.016,0.019,0.035,0.5,,,,,0.005,,,CALM,0.1,,
27207520,2017/01/02,07,,0.030,0.019,0.049,0.7,,,,,0.010,,,NW,0.6,,
27207520,2017/01/02,08,,0.019,0.015,0.034,0.7,,,,,0.010,,,CALM,0.2,,
27207520,2017/01/02,09,,0.020,0.016,0.036,0.7,,,,,0.010,,,CALM,0.3,,
27207520,2017/01/02,10,,0.010,0.013,0.023,0.5,,,,,0.003,,,SSE,1.0,,
27207520,2017/01/02,11,,0.005,0.011,0.016,0.4,,,,,0.011,,,SE,0.7,,
27207520,2017/01/02,12,,0.005,0.011,0.016,0.4,,,,,0.013,,,SW,1.3,,
27207520,2017/01/02,13,,0.003,0.013,0.016,0.5,,,,,0.011,,,NE,0.5,,
27207520,2017/01/02,14,,0.004,0.013,0.017,0.5,,,,,0.012,,,SW,1.8,,
27207520,2017/01/02,15,,0.003,0.015,0.018,0.5,,,,,0.010,,,WSW,2.3,,
27207520,2017/01/02,16,,0.001,0.012,0.013,0.5,,,,,0.010,,,SW,1.3,,
27207520,2017/01/02,17,,0.001,0.012,0.013,0.4,,,,,0.011,,,WSW,1.1,,
27207520,2017/01/02,18,,0.001,0.018,0.019,0.5,,,,,0.008,,,CALM,0.3,,
27207520,2017/01/02,19,,0.005,0.030,0.035,0.7,,,,,0.011,,,CALM,0.3,,
27207520,2017/01/02,20,,0.010,0.031,0.041,0.8,,,,,0.014,,,NE,0.8,,
27207520,2017/01/02,21,,0.008,0.025,0.033,0.6,,,,,0.007,,,CALM,0.3,,
27207520,2017/01/02,22,,0.011,0.028,0.039,0.7,,,,,0.010,,,CALM,0.4,,
27207520,2017/01/02,23,,0.020,0.027,0.047,0.7,,,,,0.009,,,ENE,1.1,,
27207520,2017/01/02,24,,0.018,0.028,0.046,0.7,,,,,0.014,,,NE,0.7,,
27207520,2017/01/03,01,,0.016,0.025,0.041,0.7,,,,,0.010,,,NNE,0.5,,
27207520,2017/01/03,02,,0.008,0.023,0.031,0.6,,,,,0.010,,,CALM,0.4,,
27207520,2017/01/03,03,,0.007,0.016,0.023,0.5,,,,,0.012,,,NNE,0.8,,
27207520,2017/01/03,04,,0.005,0.015,0.020,0.4,,,,,0.017,,,NE,1.0,,
27207520,2017/01/03,05,,0.005,0.019,0.024,0.5,,,,,0.015,,,CALM,0.4,,
27207520,2017/01/03,06,,0.004,0.016,0.020,0.4,,,,,0.006,,,NNW,0.6,,
27207520,2017/01/03,07,,0.005,0.019,0.024,0.4,,,,,0.013,,,WNW,0.5,,
27207520,2017/01/03,08,,0.006,0.018,0.024,0.4,,,,,0.013,,,NW,0.6,,
27207520,2017/01/03,09,,0.003,0.013,0.016,0.4,,,,,0.011,,,NW,0.6,,
27207520,2017/01/03,10,,0.002,0.008,0.010,0.3,,,,,0.009,,,SSE,0.9,,
27207520,2017/01/03,11,,0.002,0.011,0.013,0.4,,,,,0.009,,,NNW,1.5,,
27207520,2017/01/03,12,,0.001,0.006,0.007,0.3,,,,,0.011,,,WSW,1.6,,
27207520,2017/01/03,13,,0.002,0.006,0.008,0.3,,,,,0.007,,,NW,0.8,,
27207520,2017/01/03,14,,0.002,0.006,0.008,0.3,,,,,0.012,,,N,2.4,,
27207520,2017/01/03,15,,0.002,0.008,0.010,0.3,,,,,0.007,,,WNW,1.4,,
27207520,2017/01/03,16,,0.001,0.006,0.007,0.4,,,,,0.010,,,N,1.3,,
27207520,2017/01/03,17,,0.001,0.008,0.009,0.4,,,,,0.013,,,N,1.4,,
27207520,2017/01/03,18,,0.002,0.010,0.012,0.4,,,,,0.011,,,NE,1.4,,
27207520,2017/01/03,19,,0.002,0.014,0.016,0.5,,,,,0.004,,,N,1.4,,
27207520,2017/01/03,20,,0.002,0.017,0.019,0.5,,,,,0.003,,,CALM,0.4,,
27207520,2017/01/03,21,,0.002,0.017,0.019,0.5,,,,,0.001,,,NW,0.5,,
27207520,2017/01/03,22,,0.004,0.024,0.028,0.6,,,,,0.008,,,CALM,0.4,,
27207520,2017/01/03,23,,0.009,0.030,0.039,0.6,,,,,0.004,,,NW,0.6,,
