測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27201030,2017/01/01,01,0.004,0.004,0.020,0.024,,0.011,0.18,2.14,2.32,0.017,9,,SSE,1.2,5.2,87.0
27201030,2017/01/01,02,0.003,0.002,0.022,0.024,,0.008,0.27,2.13,2.40,0.018,18,,SSE,1.1,4.8,87.0
27201030,2017/01/01,03,0.006,0.001,0.017,0.018,,0.021,0.21,2.03,2.24,0.014,11,,WNW,4.2,8.3,70.0
27201030,2017/01/01,04,0.007,0.001,0.017,0.018,,0.024,0.07,1.96,2.03,0.015,10,,WSW,2.4,8.0,71.0
27201030,2017/01/01,05,0.006,0,0.017,0.017,,0.025,0.05,1.96,2.01,0.014,13,,SW,1.5,6.7,76.0
27201030,2017/01/01,06,0.007,0,0.015,0.015,,0.021,0.14,2.04,2.18,0.015,13,,SW,1.1,6.4,79.0
27201030,2017/01/01,07,0.004,0,0.012,0.012,,0.024,0.10,1.97,2.07,0.012,14,,SW,1.7,6.0,81.0
27201030,2017/01/01,08,0.004,0.001,0.013,0.014,,0.022,0.07,1.97,2.04,0.013,9,,SW,2.2,7.0,80.0
27201030,2017/01/01,09,0.007,0.003,0.018,0.021,,0.021,0.13,2.00,2.13,0.016,7,,W,1.0,8.8,71.0
27201030,2017/01/01,10,0.004,0.002,0.011,0.013,,0.033,0.09,1.97,2.06,0.015,18,,W,2.0,9.4,66.0
27201030,2017/01/01,11,0.004,0.002,0.009,0.011,,0.037,0.04,1.95,1.99,0.015,13,,SW,2.7,9.8,66.0
27201030,2017/01/01,12,0.005,0.004,0.010,0.014,,0.035,0.04,1.95,1.99,0.015,11,,W,3.1,10.5,66.0
27201030,2017/01/01,13,0.005,0.003,0.009,0.012,,0.039,0.04,1.95,1.99,0.018,22,,W,3.6,11.4,62.0
27201030,2017/01/01,14,0.004,0.001,0.006,0.007,,0.045,0.04,1.94,1.98,0.015,16,,W,3.5,11.5,60.0
27201030,2017/01/01,15,0.004,0.001,0.006,0.007,,0.045,0.03,1.94,1.97,0.015,17,,W,3.1,11.7,62.0
27201030,2017/01/01,16,0.004,0.001,0.006,0.007,,0.046,0.04,1.93,1.97,0.017,11,,SW,3.1,11.6,64.0
27201030,2017/01/01,17,0.004,0,0.005,0.005,,0.047,0.03,1.93,1.96,0.014,17,,WSW,2.7,11.2,65.0
27201030,2017/01/01,18,0.004,0,0.010,0.010,,0.041,0.06,1.94,2.00,0.014,9,,SSW,1.7,10.8,68.0
27201030,2017/01/01,19,0.004,0,0.015,0.015,,0.032,0.14,1.98,2.12,0.018,12,,SSE,3.1,8.6,76.0
27201030,2017/01/01,20,0.003,0,0.011,0.011,,0.029,0.14,2.01,2.15,0.015,13,,SSE,2.2,7.6,79.0
