測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27209510,2017/01/01,01,,0.004,0.031,0.035,,,0.24,2.16,2.40,0.019,22,,,,,
27209510,2017/01/01,02,,0.006,0.030,0.036,,,0.23,2.17,2.40,0.015,24,,,,,
27209510,2017/01/01,03,,0.005,0.028,0.033,,,0.22,2.12,2.34,0.019,21,,,,,
27209510,2017/01/01,04,,0.007,0.023,0.030,,,0.20,2.10,2.30,0.019,22,,,,,
27209510,2017/01/01,05,,0.010,0.025,0.035,,,0.24,2.12,2.36,0.015,22,,,,,
27209510,2017/01/01,06,,0.006,0.025,0.031,,,0.22,2.15,2.37,0.018,18,,,,,
27209510,2017/01/01,07,,0.011,0.027,0.038,,,0.23,2.14,2.37,0.015,18,,,,,
27209510,2017/01/01,08,,0.021,0.025,0.046,,,0.26,2.14,2.40,0.015,18,,,,,
27209510,2017/01/01,09,,0.019,0.023,0.042,,,0.28,2.16,2.44,0.024,18,,,,,
27209510,2017/01/01,10,,0.020,0.025,0.045,,,0.26,2.15,2.41,0.015,17,,,,,
27209510,2017/01/01,11,,0.013,0.020,0.033,,,0.21,2.12,2.33,0.017,10,,,,,
27209510,2017/01/01,12,,0.009,0.017,0.026,,,0.14,2.04,2.18,0.011,9,,,,,
27209510,2017/01/01,13,,0.011,0.020,0.031,,,0.16,2.04,2.20,0.017,15,,,,,
27209510,2017/01/01,14,,0.008,0.014,0.022,,,0.09,1.97,2.06,0.014,20,,,,,
27209510,2017/01/01,15,,0.006,0.011,0.017,,,0.09,1.96,2.05,0.019,20,,,,,
27209510,2017/01/01,16,,0.006,0.013,0.019,,,0.08,1.96,2.04,0.014,25,,,,,
27209510,2017/01/01,17,,0.006,0.016,0.022,,,0.08,1.96,2.04,0.016,14,,,,,
27209510,2017/01/01,18,,0.005,0.016,0.021,,,0.10,1.98,2.08,0.023,12,,,,,
27209510,2017/01/01,19,,0.005,0.025,0.030,,,0.16,2.03,2.19,0.024,19,,,,,
27209510,2017/01/01,20,,0.004,0.023,0.027,,,0.19,2.08,2.27,0.021,18,,,,,
27209510,2017/01/01,21,,0.006,0.024,0.030,,,0.19,2.07,2.26,0.015,15,,,,,
27209510,2017/01/01,22,,0.007,0.030,0.037,,,0.22,2.12,2.34,0.019,17,,,,,
27209510,2017/01/01,23,,0.004,0.033,0.037,,,0.26,2.19,2.45,0.022,18,,,,,
27209510,2017/01/01,24,,,,,,,0.22,2.12,2.34,0.015,20,,,,,
27209510,2017/01/02,01,,0.002,0.028,0.030,,,0.21,2.10,2.31,0.023,20,,,,,
27209510,2017/01/02,02,,0.002,0.022,0.024,,,0.18,2.07,2.25,0.010,17,,,,,
27209510,2017/01/02,03,,0.002,0.020,0.022,,,0.16,2.04,2.20,0.018,19,,,,,
27209510,2017/01/02,04,,0.002,0.017,0.019,,,0.16,2.03,2.19,0.009,15,,,,,
27209510,2017/01/02,05,,0.002,0.018,0.020,,,0.13,2.02,2.15,0.020,12,,,,,
