測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
27201600,2017/01/01,01,,0.005,0.021,0.026,0.4,,,,,0.014,14,,CALM,0.4,,
27201600,2017/01/01,02,,0.005,0.021,0.026,0.4,,,,,0.015,17,,SSE,0.5,,
27201600,2017/01/01,03,,0.003,0.017,0.020,0.3,,,,,0.014,15,,SSW,0.8,,
27201600,2017/01/01,04,,0.003,0.018,0.021,0.3,,,,,0.012,14,,S,0.9,,
27201600,2017/01/01,05,,0.003,0.014,0.017,0.3,,,,,0.012,12,,S,1.0,,
27201600,2017/01/01,06,,0.006,0.018,0.024,0.3,,,,,0.011,14,,SW,0.5,,
27201600,2017/01/01,07,,0.007,0.018,0.025,0.3,,,,,0.013,13,,ESE,0.6,,
27201600,2017/01/01,08,,0.010,0.022,0.032,0.4,,,,,0.014,12,,S,0.7,,
27201600,2017/01/01,09,,0.003,0.015,0.018,0.4,,,,,0.013,12,,S,1.1,,
27201600,2017/01/01,10,,0.004,0.016,0.020,0.4,,,,,0.015,14,,S,0.5,,
27201600,2017/01/01,11,,0.003,0.013,0.016,0.4,,,,,0.016,10,,SW,1.3,,
27201600,2017/01/01,12,,0.002,0.008,0.010,0.3,,,,,0.015,15,,WSW,1.4,,
27201600,2017/01/01,13,,0.002,0.009,0.011,0.3,,,,,0.016,19,,W,1.4,,
27201600,2017/01/01,14,,0.001,0.006,0.007,0.2,,,,,0.015,16,,WSW,1.2,,
27201600,2017/01/01,15,,0.001,0.005,0.006,0.2,,,,,0.014,10,,SW,1.5,,
27201600,2017/01/01,16,,0,0.005,0.005,0.2,,,,,0.012,9,,WSW,1.1,,
27201600,2017/01/01,17,,0,0.005,0.005,0.2,,,,,0.013,13,,SW,1.4,,
27201600,2017/01/01,18,,0.001,0.011,0.012,0.3,,,,,0.017,16,,CALM,0.4,,
27201600,2017/01/01,19,,0.002,0.015,0.017,0.4,,,,,0.015,12,,S,0.5,,
27201600,2017/01/01,20,,0.003,0.016,0.019,0.4,,,,,0.016,14,,S,0.7,,
27201600,2017/01/01,21,,0.002,0.016,0.018,0.3,,,,,0.015,14,,SSE,0.5,,
27201600,2017/01/01,22,,0.003,0.018,0.021,0.3,,,,,0.013,11,,SSE,0.5,,
27201600,2017/01/01,23,,0.002,0.013,0.015,0.3,,,,,0.014,11,,SSE,0.5,,
27201600,2017/01/01,24,,0.003,0.014,0.017,0.3,,,,,0.014,13,,SE,0.5,,
27201600,2017/01/02,01,,0.004,0.017,0.021,0.3,,,,,0.015,14,,E,0.9,,
27201600,2017/01/02,02,,0.004,0.013,0.017,0.3,,,,,0.013,15,,E,0.8,,
27201600,2017/01/02,03,,0.004,0.014,0.018,0.3,,,,,0.013,15,,ESE,0.6,,
27201600,2017/01/02,04,,0.006,0.014,0.020,0.3,,,,,0.015,14,,CALM,0.4,,
27201600,2017/01/02,05,,0.005,0.013,0.018,0.3,,,,,0.013,13,,ESE,0.5,,
27201600,2017/01/02,06,,0.016,0.019,0.035,0.3,,,,,0.014,14,,E,0.6,,
27201600,2017/01/02,07,,0.006,0.011,0.017,0.3,,,,,0.012,15,,ESE,0.6,,
