測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
14203030,2017/01/01,01,0,0.004,0.021,0.025,,0.005,,,,0.027,,,NNE,2.2,3.5,72.6
14203030,2017/01/01,02,0,0.001,0.011,0.012,,0.012,,,,0.015,,,NNE,2.0,3.8,70.6
14203030,2017/01/01,03,0,0,0.009,0.009,,0.014,,,,0.012,,,NE,2.4,3.9,67.9
14203030,2017/01/01,04,0,0,0.006,0.006,,0.018,,,,0.010,,,NNE,1.9,3.9,65.7
14203030,2017/01/01,05,0,0.005,0.015,0.020,,0.006,,,,0.013,,,CALM,0.4,1.3,78.6
14203030,2017/01/01,06,0,0.026,0.021,0.047,,0.001,,,,0.013,,,WNW,1.0,0.5,82.1
14203030,2017/01/01,07,0,0.022,0.021,0.043,,0.001,,,,0.016,,,NNW,0.8,1.0,83.7
14203030,2017/01/01,08,0.001,0.048,0.024,0.072,,0.002,,,,0.017,,,E,0.8,2.7,79.0
14203030,2017/01/01,09,0,0.029,0.020,0.049,,0.006,,,,0.018,,,NW,0.7,5.7,64.2
14203030,2017/01/01,10,0,0.009,0.013,0.022,,0.016,,,,0.014,,,CALM,0.2,9.7,44.8
14203030,2017/01/01,11,0.001,0.006,0.017,0.023,,0.024,,,,0.010,,,ESE,1.0,12.0,31.5
14203030,2017/01/01,12,0,0.001,0.005,0.006,,0.035,,,,0.008,,,SSW,2.2,13.4,34.9
14203030,2017/01/01,13,0,0.001,0.004,0.005,,0.040,,,,0.008,,,SSW,3.1,13.3,31.9
14203030,2017/01/01,14,0.001,0.001,0.003,0.004,,0.044,,,,0.007,,,SSE,2.4,14.0,37.9
14203030,2017/01/01,15,0.001,0.001,0.003,0.004,,0.044,,,,0.010,,,SSE,2.2,13.6,37.7
14203030,2017/01/01,16,0.001,0.001,0.005,0.006,,0.044,,,,0.006,,,S,1.5,13.0,47.0
14203030,2017/01/01,17,0.001,0,0.009,0.009,,0.041,,,,0.008,,,SE,0.7,11.2,55.2
14203030,2017/01/01,18,0,0,0.012,0.012,,0.031,,,,0.010,,,E,0.8,9.7,63.2
14203030,2017/01/01,19,0,0,0.016,0.016,,0.025,,,,0.013,,,NNE,0.9,8.3,63.1
14203030,2017/01/01,20,0,0.003,0.032,0.035,,0.008,,,,0.015,,,NNE,2.6,7.4,67.3
14203030,2017/01/01,21,0,0.001,0.022,0.023,,0.012,,,,0.012,,,NNE,2.1,6.7,71.9
14203030,2017/01/01,22,0,0.001,0.017,0.018,,0.014,,,,0.012,,,NE,2.1,6.1,72.6
14203030,2017/01/01,23,0,0.001,0.018,0.019,,0.012,,,,0.008,,,NE,1.6,5.5,72.6
14203030,2017/01/01,24,0,0.001,0.015,0.016,,0.013,,,,0.007,,,NNE,1.7,5.2,71.7
14203030,2017/01/02,01,0,0.002,0.019,0.021,,0.008,,,,0.006,,,CALM,0.2,3.9,75.7
