測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
08208010,2017/01/01,01,,,,,,0.001,,,,0.024,,,NNE,1.1,,
08208010,2017/01/01,02,,,,,,0.003,,,,0.019,,,CALM,0.3,,
08208010,2017/01/01,03,,,,,,0.002,,,,0.017,,,W,0.5,,
08208010,2017/01/01,04,,,,,,0.004,,,,0.017,,,NW,0.8,,
08208010,2017/01/01,05,,,,,,0.004,,,,0.023,,,CALM,0.3,,
08208010,2017/01/01,06,,,,,,0.004,,,,0.026,,,WSW,0.7,,
08208010,2017/01/01,07,,,,,,0.005,,,,0.027,,,WSW,0.8,,
08208010,2017/01/01,08,,,,,,0.005,,,,0.015,,,WSW,1.6,,
08208010,2017/01/01,09,,,,,,0.010,,,,0.018,,,WSW,0.9,,
08208010,2017/01/01,10,,,,,,0.016,,,,0.004,,,WSW,2.1,,
08208010,2017/01/01,11,,,,,,0.023,,,,0,,,WSW,2.7,,
08208010,2017/01/01,12,,,,,,0.032,,,,0.006,,,WSW,0.9,,
08208010,2017/01/01,13,,,,,,0.036,,,,0.001,,,WSW,0.9,,
08208010,2017/01/01,14,,,,,,0.039,,,,0.001,,,N,1.3,,
08208010,2017/01/01,15,,,,,,0.040,,,,0,,,E,0.6,,
08208010,2017/01/01,16,,,,,,0.040,,,,0.003,,,E,1.4,,
08208010,2017/01/01,17,,,,,,0.035,,,,0.003,,,ESE,1.2,,
08208010,2017/01/01,18,,,,,,0.031,,,,0.005,,,NE,0.6,,
08208010,2017/01/01,19,,,,,,0.019,,,,0.006,,,ENE,0.8,,
08208010,2017/01/01,20,,,,,,0.015,,,,0.005,,,SW,0.8,,
08208010,2017/01/01,21,,,,,,0.022,,,,0.002,,,WSW,1.1,,
08208010,2017/01/01,22,,,,,,0.014,,,,0.013,,,W,0.5,,
08208010,2017/01/01,23,,,,,,0.007,,,,0.013,,,WSW,0.9,,
08208010,2017/01/01,24,,,,,,0.005,,,,0.006,,,WSW,0.8,,
08208010,2017/01/02,01,,,,,,0.004,,,,0.009,,,CALM,0.3,,
08208010,2017/01/02,02,,,,,,0.002,,,,0.015,,,NE,0.8,,
08208010,2017/01/02,03,,,,,,0.003,,,,0.018,,,NW,0.7,,
08208010,2017/01/02,04,,,,,,0.008,,,,0.022,,,NW,1.8,,
08208010,2017/01/02,05,,,,,,0.016,,,,0.015,,,WSW,0.6,,
08208010,2017/01/02,06,,,,,,0.014,,,,0.014,,,WSW,1.0,,
08208010,2017/01/02,07,,,,,,0.006,,,,0.009,,,CALM,0.4,,
08208010,2017/01/02,08,,,,,,0.003,,,,0.006,,,W,1.5,,
08208010,2017/01/02,09,,,,,,0.007,,,,0.007,,,WSW,1.5,,
08208010,2017/01/02,10,,,,,,0.009,,,,0.003,,,CALM,0.3,,
08208010,2017/01/02,11,,,,,,0.014,,,,0.011,,,SW,1.7,,
08208010,2017/01/02,12,,,,,,0.022,,,,0.016,,,WSW,1.3,,
08208010,2017/01/02,13,,,,,,0.029,,,,0.020,,,W,1.3,,
08208010,2017/01/02,14,,,,,,0.036,,,,0.015,,,W,1.3,,
08208010,2017/01/02,15,,,,,,0.038,,,,0.019,,,CALM,0.3,,
08208010,2017/01/02,16,,,,,,0.040,,,,0.013,,,WSW,1.2,,
08208010,2017/01/02,17,,,,,,0.035,,,,0.019,,,CALM,0.3,,
08208010,2017/01/02,18,,,,,,0.024,,,,0.008,,,WSW,0.9,,
08208010,2017/01/02,19,,,,,,0.008,,,,0.006,,,CALM,0,,
