測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
28201380,2017/01/01,01,0,0.004,0.013,0.017,,0.002,1.15,5.04,6.19,0.010,,,SE,0.4,,
28201380,2017/01/01,02,0,0.003,0.011,0.014,,0.003,0.45,3.00,3.45,0.014,,,E,1.1,,
28201380,2017/01/01,03,0,0.001,0.007,0.008,,0.006,0.40,2.91,3.31,0.023,,,CALM,0.1,,
28201380,2017/01/01,04,0,0,0.005,0.005,,0.006,0.82,4.22,5.04,0.020,,,CALM,0.3,,
28201380,2017/01/01,05,0,0,0.004,0.004,,0.007,0.49,3.29,3.78,0.017,,,ENE,0.4,,
28201380,2017/01/01,06,0,0,0.004,0.004,,0.007,0.61,3.58,4.19,0.015,,,E,0.7,,
28201380,2017/01/01,07,0,0,0.003,0.003,,0.009,0.48,3.22,3.70,0.016,,,NNW,0.6,,
28201380,2017/01/01,08,0,0.002,0.006,0.008,,0.007,0.20,2.34,2.54,0.021,,,E,0.4,,
28201380,2017/01/01,09,0,0.003,0.005,0.008,,0.011,0.41,2.88,3.29,0.009,,,CALM,0.3,,
28201380,2017/01/01,10,0,0.001,0.004,0.005,,0.015,0.10,2.02,2.12,0.016,,,E,0.7,,
28201380,2017/01/01,11,0,0.001,0.004,0.005,,0.020,0.10,2.00,2.10,0.013,,,W,0.7,,
28201380,2017/01/01,12,0,0,0.003,0.003,,0.029,0.45,3.14,3.59,0.014,,,SW,1.3,,
28201380,2017/01/01,13,0,0,0.005,0.005,,0.031,0.14,2.18,2.32,0.023,,,SSW,1.7,,
28201380,2017/01/01,14,0,0,0.004,0.004,,0.033,0.17,2.29,2.46,0.011,,,W,1.5,,
28201380,2017/01/01,15,0,0,0.003,0.003,,0.033,0.17,2.31,2.48,0.020,,,SW,1.6,,
28201380,2017/01/01,16,0,0,0.004,0.004,,0.034,0.32,2.74,3.06,0.021,,,WSW,1.6,,
28201380,2017/01/01,17,0,0,0.005,0.005,,0.036,0.47,3.19,3.66,0.022,,,SW,1.3,,
28201380,2017/01/01,18,0,0,0.009,0.009,,0.029,0.73,3.91,4.64,0.026,,,NE,0.5,,
28201380,2017/01/01,19,0,0.001,0.013,0.014,,0.017,0.14,2.00,2.14,0.012,,,NE,1.3,,
28201380,2017/01/01,20,0,0.001,0.015,0.016,,0.013,0.23,2.23,2.46,0.017,,,NE,0.4,,
28201380,2017/01/01,21,0,0.001,0.010,0.011,,0.014,0.17,2.09,2.26,0.011,,,NE,0.5,,
28201380,2017/01/01,22,0,0.003,0.013,0.016,,0.010,0.16,2.11,2.27,0.009,,,ENE,1.0,,
28201380,2017/01/01,23,0,0.001,0.010,0.011,,0.010,0.14,2.10,2.24,0.012,,,NE,1.0,,
28201380,2017/01/01,24,,,,,,,,,,0.011,,,SSE,0.6,,
28201380,2017/01/02,01,0,0.001,0.008,0.009,,0.008,0.52,3.29,3.81,0.010,,,ESE,0.8,,
28201380,2017/01/02,02,0,0.001,0.005,0.006,,0.011,0.11,2.06,2.17,0.017,,,CALM,0.1,,
28201380,2017/01/02,03,0,0.001,0.008,0.009,,0.006,0.30,2.59,2.89,0.013,,,CALM,0.3,,
28201380,2017/01/02,04,0,0.001,0.007,0.008,,0.006,0.43,3.04,3.47,0.006,,,NW,0.5,,
28201380,2017/01/02,05,0,0,0.004,0.004,,0.008,0.25,2.48,2.73,0.011,,,NNE,0.7,,
28201380,2017/01/02,06,0,0,0.003,0.003,,0.009,0.12,2.19,2.31,0.018,,,NE,0.9,,
28201380,2017/01/02,07,0,0,0.003,0.003,,0.008,0.13,2.17,2.30,0.011,,,CALM,0.2,,
28201380,2017/01/02,08,0,0.002,0.006,0.008,,0.006,0.41,2.98,3.39,0.018,,,CALM,0,,
28201380,2017/01/02,09,0,0.003,0.006,0.009,,0.008,0.22,2.37,2.59,0.014,,,CALM,0.3,,
28201380,2017/01/02,10,0,0.003,0.004,0.007,,0.011,0.11,2.03,2.14,0.010,,,CALM,0.3,,
28201380,2017/01/02,11,0,0.003,0.007,0.010,,0.016,0.23,2.38,2.61,0.015,,,W,0.6,,
28201380,2017/01/02,12,0,0.002,0.009,0.011,,0.023,0.46,3.12,3.58,0.027,,,W,1.7,,
28201380,2017/01/02,13,0,0.001,0.006,0.007,,0.028,0.21,2.37,2.58,0.032,,,W,2.1,,
28201380,2017/01/02,14,0,0.001,0.008,0.009,,0.028,0.21,2.35,2.56,0.029,,,SW,1.9,,
28201380,2017/01/02,15,0,0.001,0.010,0.011,,0.026,0.28,2.60,2.88,0.030,,,SW,2.8,,
28201380,2017/01/02,16,0,0.001,0.013,0.014,,0.025,0.27,2.54,2.81,0.036,,,SW,2.0,,
28201380,2017/01/02,17,0,0,0.015,0.015,,0.024,0.69,3.77,4.46,0.034,,,WSW,0.9,,
28201380,2017/01/02,18,0,0,0.018,0.018,,0.020,0.39,2.82,3.21,0.033,,,NNE,0.8,,
28201380,2017/01/02,19,0,0.002,0.025,0.027,,0.007,0.19,2.04,2.23,0.029,,,NNE,1.0,,
28201380,2017/01/02,20,0,0.006,0.026,0.032,,0.004,0.78,4.04,4.82,0.030,,,CALM,0.3,,
28201380,2017/01/02,21,0,0.006,0.022,0.028,,0.003,0.65,3.54,4.19,0.023,,,ENE,0.4,,
28201380,2017/01/02,22,0,0.003,0.016,0.019,,0.004,0.40,2.77,3.17,0.036,,,CALM,0.3,,
28201380,2017/01/02,23,0,0.008,0.019,0.027,,0.001,1.35,5.72,7.07,0.022,,,CALM,0.1,,
28201380,2017/01/02,24,0,0.008,0.016,0.024,,0.002,0.95,4.47,5.42,0.018,,,CALM,0.3,,
28201380,2017/01/03,01,0,0.005,0.013,0.018,,0.002,0.97,4.73,5.70,0.018,,,NE,0.6,,
28201380,2017/01/03,02,0,0.002,0.010,0.012,,0.004,0.22,2.27,2.49,0.018,,,NE,0.6,,
28201380,2017/01/03,03,0,0.001,0.006,0.007,,0.006,0.62,3.70,4.32,0.009,,,NNE,0.6,,
28201380,2017/01/03,04,0,0.001,0.005,0.006,,0.005,0.65,3.79,4.44,0.022,,,CALM,0.1,,
28201380,2017/01/03,05,0,0.001,0.006,0.007,,0.004,0.63,3.64,4.27,0.020,,,ENE,0.6,,
28201380,2017/01/03,06,0,0,0.004,0.004,,0.005,0.17,2.31,2.48,0.028,,,CALM,0.3,,
28201380,2017/01/03,07,0,0.001,0.006,0.007,,0.004,0.66,3.75,4.41,0.013,,,WSW,0.5,,
28201380,2017/01/03,08,0,0.001,0.006,0.007,,0.006,0.22,2.45,2.67,0.017,,,ENE,0.5,,
28201380,2017/01/03,09,0,0.002,0.005,0.007,,0.010,0.17,2.28,2.45,0.027,,,CALM,0.3,,
28201380,2017/01/03,10,0,0.002,0.005,0.007,,0.014,0.09,2.02,2.11,0.009,,,ENE,0.4,,
28201380,2017/01/03,11,0,0.001,0.006,0.007,,0.023,0.50,3.23,3.73,0.017,,,W,1.4,,
28201380,2017/01/03,12,0,0.001,0.005,0.006,,0.031,0.28,2.59,2.87,0.017,,,W,3.1,,
28201380,2017/01/03,13,0,0,0.003,0.003,,0.036,0.17,2.31,2.48,0.022,,,WNW,3.0,,
28201380,2017/01/03,14,0,0,0.003,0.003,,0.038,0.13,2.17,2.30,0.028,,,NE,1.1,,
28201380,2017/01/03,15,0,0,0.002,0.002,,0.037,0.08,2.00,2.08,0.021,,,NW,0.9,,
28201380,2017/01/03,16,0,0,0.002,0.002,,0.038,0.12,2.15,2.27,0.016,,,NNW,1.2,,
28201380,2017/01/03,17,0,0,0.004,0.004,,0.038,0.20,2.35,2.55,0.016,,,WNW,1.7,,
28201380,2017/01/03,18,0,0,0.006,0.006,,0.037,0.41,2.97,3.38,0.017,,,NE,0.5,,
28201380,2017/01/03,19,0,0.001,0.016,0.017,,0.021,0.56,3.33,3.89,0.025,,,ENE,0.9,,
28201380,2017/01/03,20,0,0.001,0.016,0.017,,0.018,0.16,2.08,2.24,0.033,,,ENE,0.9,,
28201380,2017/01/03,21,0,0.001,0.013,0.014,,0.017,0.15,2.04,2.19,0.027,,,CALM,0.2,,
28201380,2017/01/03,22,0,0.001,0.013,0.014,,0.012,0.68,3.69,4.37,0.022,,,NE,0.4,,
28201380,2017/01/03,23,0,0.003,0.016,0.019,,0.008,0.19,2.17,2.36,0.027,,,CALM,0.2,,
28201380,2017/01/03,24,0,0.002,0.013,0.015,,0.008,0.43,2.93,3.36,0.023,,,ENE,0.8,,
28201380,2017/01/04,01,0,0,0.006,0.006,,0.010,0.10,2.09,2.19,0.016,,,NNE,0.8,,
28201380,2017/01/04,02,0,0.001,0.006,0.007,,0.009,0.12,2.12,2.24,0.021,,,ENE,0.5,,
28201380,2017/01/04,03,0,0.001,0.005,0.006,,0.008,0.26,2.57,2.83,0.017,,,CALM,0.2,,
28201380,2017/01/04,04,0,0,0.005,0.005,,0.007,0.28,2.61,2.89,0.015,,,NE,0.5,,
28201380,2017/01/04,05,0,0,0.004,0.004,,0.008,0.12,2.16,2.28,0.021,,,E,0.5,,
28201380,2017/01/04,06,0,0,0.005,0.005,,0.006,0.12,2.13,2.25,0.020,,,ENE,0.5,,
28201380,2017/01/04,07,0,0.001,0.007,0.008,,0.005,0.48,3.24,3.72,0.023,,,CALM,0.3,,
28201380,2017/01/04,08,0,0.003,0.008,0.011,,0.005,0.31,2.70,3.01,0.021,,,NE,0.5,,
28201380,2017/01/04,09,0,0.007,0.010,0.017,,0.008,0.30,2.20,2.50,0.022,,,E,0.4,,
28201380,2017/01/04,10,0,0.006,0.009,0.015,,0.011,0.25,2.37,2.62,0.020,,,W,0.4,,
28201380,2017/01/04,11,0,0.002,0.008,0.010,,0.023,0.39,2.87,3.26,0.035,,,SW,1.1,,
28201380,2017/01/04,12,0,0.002,0.012,0.014,,0.024,0.29,2.54,2.83,0.030,,,ESE,1.2,,
28201380,2017/01/04,13,0,0.001,0.007,0.008,,0.031,0.22,2.39,2.61,0.030,,,WSW,1.4,,
28201380,2017/01/04,14,0,0,0.004,0.004,,0.037,0.15,2.25,2.40,0.020,,,NW,3.4,,
28201380,2017/01/04,15,0,0,0.003,0.003,,0.041,0.13,2.21,2.34,0.027,,,NW,3.2,,
28201380,2017/01/04,16,0,0,0.003,0.003,,0.043,0.20,2.40,2.60,0.033,,,NW,3.4,,
28201380,2017/01/04,17,0,0,0.003,0.003,,0.042,0.11,2.12,2.23,0.029,,,N,1.4,,
28201380,2017/01/04,18,0,0,0.003,0.003,,0.039,0.06,1.97,2.03,0.019,,,NNE,3.7,,
28201380,2017/01/04,19,0,0,0.002,0.002,,0.041,0.05,1.95,2.00,0.019,,,NE,3.1,,
28201380,2017/01/04,20,0,0,0.002,0.002,,0.040,0.05,1.95,2.00,0.015,,,NNE,2.5,,
28201380,2017/01/04,21,0,0,0.002,0.002,,0.039,0.05,1.96,2.01,0.020,,,NNE,1.7,,
28201380,2017/01/04,22,0,0,0.003,0.003,,0.039,0.08,1.97,2.05,0.013,,,NNE,2.7,,
28201380,2017/01/04,23,0,0,0.003,0.003,,0.039,0.06,1.96,2.02,0.019,,,NNE,2.4,,
28201380,2017/01/04,24,0,0.001,0.005,0.006,,0.037,0.06,1.98,2.04,0.022,,,NE,1.5,,
28201380,2017/01/05,01,0,0,0.002,0.002,,0.038,0.05,1.95,2.00,0.013,,,NE,1.9,,
28201380,2017/01/05,02,0,0,0.001,0.001,,0.039,0.05,1.96,2.01,0.016,,,NE,1.4,,
28201380,2017/01/05,03,0,0,0.001,0.001,,0.038,0.05,1.95,2.00,0.020,,,NE,1.4,,
28201380,2017/01/05,04,0,0,0.002,0.002,,0.038,0.05,1.95,2.00,0.025,,,NNE,0.8,,
28201380,2017/01/05,05,0,0,0.005,0.005,,0.032,0.86,4.39,5.25,0.018,,,CALM,0.1,,
28201380,2017/01/05,06,0,0,0.002,0.002,,0.035,0.21,2.41,2.62,0.013,,,NE,1.8,,
28201380,2017/01/05,07,0,0,0.002,0.002,,0.037,0.04,1.97,2.01,0.015,,,CALM,0.1,,
28201380,2017/01/05,08,0,0.001,0.014,0.015,,0.022,0.72,3.89,4.61,0.016,,,CALM,0.2,,
28201380,2017/01/05,09,0,0.002,0.012,0.014,,0.024,0.30,2.50,2.80,0.005,,,N,1.2,,
28201380,2017/01/05,10,0,0,0.003,0.003,,0.028,,,,,,,NNW,2.3,,
28201380,2017/01/05,11,0,0,0.002,0.002,,0.035,0.13,2.26,2.39,0,,,NNW,2.1,,
28201380,2017/01/05,12,0,0,0.002,0.002,,0.034,0.09,2.02,2.11,0.010,,,N,3.4,,
28201380,2017/01/05,13,0,0,0.001,0.001,,0.035,0.10,2.08,2.18,0.019,,,NNW,4.2,,
28201380,2017/01/05,14,0,0,0.001,0.001,,0.034,0.07,2.00,2.07,0.003,,,NNW,4.2,,
28201380,2017/01/05,15,0,0,0.001,0.001,,0.036,0.07,1.99,2.06,0.003,,,NNE,2.4,,
28201380,2017/01/05,16,0,0,0.001,0.001,,0.037,0.05,1.95,2.00,0.004,,,NE,2.9,,
28201380,2017/01/05,17,0,0,0.002,0.002,,0.037,0.05,1.95,2.00,0.007,,,NNE,1.9,,
28201380,2017/01/05,18,0,0,0.002,0.002,,0.037,0.06,1.95,2.01,0.006,,,NNE,2.1,,
28201380,2017/01/05,19,0,0,0.003,0.003,,0.035,0.07,2.00,2.07,0.014,,,NW,2.0,,
28201380,2017/01/05,20,0,0.001,0.005,0.006,,0.033,0.46,3.00,3.46,0.004,,,NNW,1.2,,
28201380,2017/01/05,21,0,0,0.004,0.004,,0.034,0.12,2.10,2.22,0.009,,,NNW,0.6,,
28201380,2017/01/05,22,0,0,0.005,0.005,,0.033,0.15,2.29,2.44,0.008,,,NE,0.6,,
28201380,2017/01/05,23,0,0,0.007,0.007,,0.031,0.08,2.00,2.08,0.008,,,CALM,0.2,,
28201380,2017/01/05,24,0,0,0.016,0.016,,0.020,0.18,2.32,2.50,0.009,,,NNE,1.0,,
28201380,2017/01/06,01,0.001,0.002,0.032,0.034,,0.009,0.22,2.43,2.65,0.006,,,NNW,0.5,,
28201380,2017/01/06,02,0.001,0,0.021,0.021,,0.017,0.29,2.58,2.87,0.017,,,N,1.4,,
28201380,2017/01/06,03,0,0,0.001,0.001,,0.037,0.18,2.31,2.49,0.004,,,N,2.1,,
28201380,2017/01/06,04,0,0,0.001,0.001,,0.038,0.12,2.15,2.27,0.009,,,N,1.3,,
28201380,2017/01/06,05,0.001,0,0.001,0.001,,0.038,0.10,2.11,2.21,0.010,,,N,1.3,,
28201380,2017/01/06,06,0,0,0.001,0.001,,0.038,0.10,2.07,2.17,0.014,,,N,1.0,,
28201380,2017/01/06,07,0,0,0.002,0.002,,0.037,0.07,2.00,2.07,0.005,,,N,1.4,,
28201380,2017/01/06,08,0,0,0.004,0.004,,0.034,0.08,2.06,2.14,0.012,,,NW,1.5,,
28201380,2017/01/06,09,0,0,0.003,0.003,,0.036,0.21,2.44,2.65,0.012,,,NNW,2.5,,
28201380,2017/01/06,10,0,0,0.001,0.001,,0.036,0.12,2.14,2.26,0.006,,,NNE,1.7,,
28201380,2017/01/06,11,0,0,0.001,0.001,,0.036,0.08,2.03,2.11,0.004,,,N,2.3,,
28201380,2017/01/06,12,0,0,0.001,0.001,,0.034,0.08,1.99,2.07,0.002,,,N,1.9,,
28201380,2017/01/06,13,0,0,0.001,0.001,,0.034,0.08,1.99,2.07,0.012,,,NE,1.9,,
28201380,2017/01/06,14,0,0,0.001,0.001,,0.034,0.07,1.96,2.03,0.006,,,NE,1.8,,
28201380,2017/01/06,15,0,0,0.001,0.001,,0.034,0.07,1.96,2.03,0.011,,,N,1.5,,
28201380,2017/01/06,16,0,0,0.002,0.002,,0.035,0.07,1.96,2.03,0.006,,,NNE,2.5,,
28201380,2017/01/06,17,0,0,0.002,0.002,,0.035,0.06,1.95,2.01,0.006,,,NNE,2.2,,
28201380,2017/01/06,18,0,0,0.003,0.003,,0.033,0.05,1.95,2.00,0.003,,,NNE,3.2,,
28201380,2017/01/06,19,0,0,0.004,0.004,,0.033,0.07,1.95,2.02,0.004,,,NNE,2.0,,
28201380,2017/01/06,20,0,0,0.006,0.006,,0.030,0.09,2.03,2.12,0.005,,,W,0.6,,
28201380,2017/01/06,21,0,0.002,0.014,0.016,,0.021,0.56,3.47,4.03,0.006,,,CALM,0.2,,
28201380,2017/01/06,22,0,0.001,0.014,0.015,,0.018,0.40,2.89,3.29,0.015,,,ESE,1.1,,
28201380,2017/01/06,23,0,0.001,0.010,0.011,,0.020,0.26,2.42,2.68,0.014,,,ENE,0.8,,
28201380,2017/01/06,24,0,0.001,0.010,0.011,,0.019,0.24,2.40,2.64,0.008,,,ENE,0.7,,
28201380,2017/01/07,01,0,0.001,0.010,0.011,,0.018,0.27,2.56,2.83,0.012,,,ESE,0.4,,
28201380,2017/01/07,02,0,0.002,0.010,0.012,,0.015,0.40,2.91,3.31,0.010,,,CALM,0.3,,
28201380,2017/01/07,03,0,0.001,0.009,0.010,,0.013,0.53,3.29,3.82,0.010,,,SW,0.5,,
28201380,2017/01/07,04,0,0,0.008,0.008,,0.012,0.55,3.37,3.92,0.005,,,CALM,0.2,,
28201380,2017/01/07,05,0,0,0.008,0.008,,0.011,0.47,3.11,3.58,0.004,,,CALM,0.2,,
28201380,2017/01/07,06,0,0,0.009,0.009,,0.011,0.41,2.91,3.32,0.001,,,CALM,0.2,,
28201380,2017/01/07,07,0,0.001,0.013,0.014,,0.007,0.53,3.32,3.85,0.008,,,CALM,0.3,,
28201380,2017/01/07,08,0,0.006,0.015,0.021,,0.006,0.72,3.73,4.45,0.007,,,CALM,0.2,,
28201380,2017/01/07,09,0,0.009,0.015,0.024,,0.009,0.72,3.60,4.32,0.009,,,ENE,0.8,,
28201380,2017/01/07,10,0.001,0.009,0.016,0.025,,0.013,0.38,2.64,3.02,0.008,,,CALM,0.3,,
28201380,2017/01/07,11,0,0.004,0.011,0.015,,0.021,0.28,2.34,2.62,0.006,,,E,0.7,,
28201380,2017/01/07,12,0.001,0.001,0.007,0.008,,0.027,0.23,2.26,2.49,0.017,,,SW,1.5,,
28201380,2017/01/07,13,0.001,0.001,0.007,0.008,,0.028,0.23,2.34,2.57,0.006,,,SW,1.1,,
28201380,2017/01/07,14,0.001,0.002,0.013,0.015,,0.026,0.26,2.45,2.71,0.016,,,SSW,0.4,,
28201380,2017/01/07,15,0.001,0.001,0.010,0.011,,0.029,0.18,2.12,2.30,0.016,,,SE,0.7,,
28201380,2017/01/07,16,0.002,0.003,0.021,0.024,,0.021,0.20,2.18,2.38,0.013,,,SSW,1.4,,
28201380,2017/01/07,17,0.002,0.001,0.021,0.022,,0.020,0.18,2.13,2.31,0.014,,,CALM,0.2,,
28201380,2017/01/07,18,0.002,0.001,0.030,0.031,,0.012,0.22,2.21,2.43,0.013,,,NE,0.5,,
28201380,2017/01/07,19,0.001,0.008,0.038,0.046,,0.004,0.30,2.35,2.65,0.012,,,NE,0.6,,
28201380,2017/01/07,20,0.001,0.006,0.034,0.040,,0.003,0.23,2.15,2.38,0.023,,,ENE,0.7,,
28201380,2017/01/07,21,0.001,0.005,0.028,0.033,,0.004,0.23,2.11,2.34,0.017,,,ESE,0.6,,
28201380,2017/01/07,22,0,0.002,0.017,0.019,,0.009,0.21,2.06,2.27,0.006,,,ENE,0.9,,
28201380,2017/01/07,23,0,0.001,0.012,0.013,,0.013,0.25,2.23,2.48,0.012,,,N,0.5,,
28201380,2017/01/07,24,0.001,0.001,0.009,0.010,,0.015,0.28,2.33,2.61,0.010,,,NE,1.0,,
28201380,2017/01/08,01,0,0.001,0.006,0.007,,0.020,0.17,2.10,2.27,0.003,,,ENE,1.3,,
28201380,2017/01/08,02,0,0,0.004,0.004,,0.020,0.13,2.01,2.14,0.011,,,ENE,1.5,,
28201380,2017/01/08,03,0,0,0.004,0.004,,0.021,0.11,1.98,2.09,0.003,,,ENE,1.2,,
28201380,2017/01/08,04,0,0,0.004,0.004,,0.022,0.10,1.96,2.06,0.006,,,ENE,1.0,,
28201380,2017/01/08,05,0,0,0.004,0.004,,0.023,0.10,1.96,2.06,0.006,,,E,1.6,,
28201380,2017/01/08,06,0,0,0.003,0.003,,0.025,0.09,1.96,2.05,0.014,,,ENE,1.1,,
28201380,2017/01/08,07,0,0,0.002,0.002,,0.029,0.08,1.95,2.03,0.003,,,ENE,1.5,,
28201380,2017/01/08,08,0,0,0.003,0.003,,0.029,0.08,1.95,2.03,0.003,,,NE,1.4,,
28201380,2017/01/08,09,0,0,0.002,0.002,,0.031,0.08,1.95,2.03,0.008,,,NNE,1.6,,
28201380,2017/01/08,10,0,0,0.002,0.002,,0.031,0.09,1.98,2.07,0.003,,,NNE,0.7,,
28201380,2017/01/08,11,0,0,0.003,0.003,,0.031,0.10,2.02,2.12,0.007,,,CALM,0.3,,
28201380,2017/01/08,12,0,0,0.003,0.003,,0.031,0.13,2.09,2.22,0.016,,,ENE,0.6,,
28201380,2017/01/08,13,0,0.001,0.005,0.006,,0.027,0.10,1.99,2.09,0.014,,,NE,0.8,,
28201380,2017/01/08,14,0,0,0.005,0.005,,0.026,0.10,1.98,2.08,0.008,,,NNE,1.2,,
28201380,2017/01/08,15,0,0,0.003,0.003,,0.026,0.09,1.95,2.04,0.012,,,N,1.0,,
28201380,2017/01/08,16,0,0,0.003,0.003,,0.025,0.13,2.10,2.23,0.006,,,N,0.8,,
28201380,2017/01/08,17,0,0,0.003,0.003,,0.029,0.19,2.30,2.49,0.005,,,WNW,0.4,,
28201380,2017/01/08,18,0,0,0.007,0.007,,0.022,0.35,2.73,3.08,0.003,,,NNE,0.7,,
28201380,2017/01/08,19,0,0,0.009,0.009,,0.020,0.25,2.36,2.61,0,,,CALM,0.3,,
28201380,2017/01/08,20,0,0.001,0.014,0.015,,0.014,0.34,2.66,3.00,0.012,,,NE,0.4,,
28201380,2017/01/08,21,0,0.002,0.015,0.017,,0.010,0.40,2.77,3.17,0.005,,,NW,0.5,,
28201380,2017/01/08,22,0,0.001,0.012,0.013,,0.010,0.39,2.71,3.10,0.008,,,NNW,0.9,,
28201380,2017/01/08,23,0,0.001,0.009,0.010,,0.013,0.34,2.57,2.91,0.007,,,CALM,0.1,,
28201380,2017/01/08,24,,,,,,,,,,0.015,,,ESE,0.4,,
28201380,2017/01/09,01,0,0,0.008,0.008,,0.012,0.27,2.37,2.64,0.011,,,CALM,0.1,,
28201380,2017/01/09,02,0,0.001,0.008,0.009,,0.011,0.39,2.83,3.22,0.006,,,ENE,0.6,,
28201380,2017/01/09,03,0,0,0.006,0.006,,0.010,0.42,2.94,3.36,0.007,,,CALM,0.1,,
28201380,2017/01/09,04,0,0,0.006,0.006,,0.008,0.51,3.23,3.74,0.005,,,CALM,0.2,,
28201380,2017/01/09,05,0,0,0.007,0.007,,0.006,0.62,3.59,4.21,0.009,,,NE,0.6,,
28201380,2017/01/09,06,0,0,0.007,0.007,,0.007,0.67,3.74,4.41,0.001,,,CALM,0.3,,
