測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
13210010,2017/01/01,01,,0,0.017,0.017,0.2,0.016,,,,0.027,27,,NNW,2.1,3.5,66.6
13210010,2017/01/01,02,,0,0.018,0.018,0.2,0.015,,,,0.033,31,,NNW,0.8,3.8,66.0
13210010,2017/01/01,03,,0,0.023,0.023,0.3,0.010,,,,0.035,33,,NW,1.0,2.8,69.3
13210010,2017/01/01,04,,0,0.018,0.018,0.3,0.009,,,,0.021,19,,NNW,1.1,2.5,69.2
13210010,2017/01/01,05,,0,0.014,0.014,0.2,0.010,,,,0.013,11,,NNE,0.8,2.5,68.0
13210010,2017/01/01,06,,0.005,0.024,0.029,0.3,0.003,,,,0.029,29,,NW,0.8,1.4,75.5
13210010,2017/01/01,07,,0.006,0.024,0.030,0.3,0.003,,,,0.026,27,,N,1.4,1.7,73.9
13210010,2017/01/01,08,,0.008,0.019,0.027,0.3,0.008,,,,0.025,18,,NNW,1.4,2.7,69.7
13210010,2017/01/01,09,,0.005,0.012,0.017,0.2,0.016,,,,0.012,9,,NW,1.8,6.5,57.2
13210010,2017/01/01,10,,0.003,0.009,0.012,0.1,0.027,,,,0.008,6,,N,3.3,9.8,46.8
13210010,2017/01/01,11,,0.001,0.004,0.005,0.1,0.039,,,,0.006,0,,NNW,3.3,11.0,39.8
13210010,2017/01/01,12,,0,0.003,0.003,0.1,0.041,,,,0.006,2,,NNE,2.0,11.4,37.9
13210010,2017/01/01,13,,0,0.003,0.003,0.1,0.041,,,,0.005,7,,NNE,1.6,12.4,37.0
13210010,2017/01/01,14,,0,0.003,0.003,0.1,0.043,,,,0.005,5,,S,1.3,13.5,33.5
13210010,2017/01/01,15,,0,0.004,0.004,0.1,0.044,,,,0.006,4,,SSW,1.3,13.2,33.7
